Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Raw,East-Raw,Down-Raw,Yaw-Raw,North-Dif,East-Dif,Down-Dif,Yaw-Dif,Landing-State,Q-Size,Kalman-Time,Kalman-Dt
STABILIZE,0.03435492515563965,29.1182138790925,0.03331497510274251,0.03343462944030762,0,0,0.0,4.6198426244009525,-35.2440254191705,66.53583017700483,0,0,0.0,0.0,0.02565189833312228,0.02587774279668957,0.030032438952023715,0.024916886400748132,0.24801541585475206,0.349951907992363,2.2380225360393524,-0.23339087231221492,6.356553733348846,1.4590863138437271,23.271316289901733,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.05849194526672363,0.029934814453125
STABILIZE,0.06779718399047852,29.901859997576086,0.03229668935139974,0.03241777420043945,0,0,0.0,4.620000572525509,-35.24391955123836,66.5464511211642,0,0,0.0,0.0,0.06723125648766007,0.06898940577943787,0.09077592629651592,0.06390232035277682,0.1481286366470158,0.45630517415702343,2.373947761952877,0.15161423133905552,2.1384477615356445,1.434051524847746,22.33809232711792,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.11590147018432617,0.034923828125
STABILIZE,0.10111618041992188,30.0126940057674,0.03234079678853353,0.03250861167907715,0,0,0.0,4.620891058438549,-35.24513874000521,66.56797987742807,0,0,0.0,0.0,0.08856919231748088,0.09145630103392709,0.12834101642971849,0.08286357674066243,0.3070799168199301,0.44486247934401035,2.517218701541424,-0.03655201080737447,4.729688912630081,1.9664201885461807,30.842188000679016,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.1445903778076172,0.034924072265625
STABILIZE,0.13469243049621582,29.786552282475924,0.03250840504964193,0.03263115882873535,0,0,0.0,4.621037480618881,-35.24516947585648,66.58041765190667,0,0,0.0,0.0,0.1075339189212185,0.11173865226072711,0.16683602039125192,0.09891658568925804,0.3070799168199301,0.44486247934401035,2.517218701541424,-0.03655201080737447,4.729688912630081,1.9664201885461807,30.842188000679016,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.1731858253479004,0.034924072265625
STABILIZE,0.1680302619934082,29.9910190773103,0.03233006795247396,0.032470703125,0,0,0.0,4.621869483037154,-35.24470160789833,66.60308021957277,0,0,0.0,0.0,0.1255747673412822,0.12932743181937978,0.20425664044282382,0.11298009578659206,0.5076122470200062,0.31112784054130316,2.180328778922558,0.06310270367914621,7.128927111625671,1.0073217563331127,24.632343649864197,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.20192527770996094,0.06485986328125
STABILIZE,0.20349955558776855,28.19567482538637,0.03249958356221517,0.03457021713256836,0,0,0.0,4.621619754245625,-35.24449670222323,66.61581169218567,0,0,0.0,0.0,0.16411859767034653,0.16733041521953546,0.2808068721283898,0.14394384468826307,0.5076122470200062,0.31112784054130316,2.180328778922558,0.06310270367914621,7.128927111625671,1.0073217563331127,24.632343649864197,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.23143625259399414,0.06485986328125
STABILIZE,0.23720550537109375,29.667722951561792,0.03239587148030599,0.03281140327453613,0,0,0.0,4.622826136407778,-35.24350632479358,66.63938950520055,0,0,0.0,0.0,0.19436088028968895,0.20045753642676137,0.3583883239276423,0.16987331618159698,0.10880465852096677,0.3556513227522373,2.2995607927441597,0.12186967797836236,5.0851523876190186,3.0783280730247498,27.122852206230164,0.0,0.0,0.0,0.0,0,0,0,0,False,1,0.25936055183410645,0.034924072265625
STABILIZE,0.27067995071411133,29.87289626437805,0.03244522412618001,0.032595157623291016,0,0,0.0,4.62257640761625,-35.24324336251053,66.65128086454556,0,0,0.0,0.0,0.20055945650045626,0.21042885055046442,0.4186500555290711,0.17783147233631796,0.04929432179778814,0.27115093544125557,2.3812035098671913,0.3918397617927128,0.9644724428653717,1.2208465486764908,31.759163737297058,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.31673741340637207,0.0698486328125
STABILIZE,0.3042111396789551,29.826373876436456,0.032442839940389,0.032582998275756836,0,0,0.0,4.621384966492905,-35.24193196618989,66.66399184659095,0,0,0.0,0.0,0.22159157987468195,0.23631713231171442,0.5064418656232618,0.20149957447515696,0.04929432179778814,0.27115093544125557,2.3812035098671913,0.3918397617927128,0.9644724428653717,1.2208465486764908,31.759163737297058,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.3455543518066406,0.0698486328125
STABILIZE,0.33758091926574707,29.963380744529616,0.032347710927327473,0.03250432014465332,0,0,0.0,4.622769360460302,-35.2425227775531,66.68571184815158,0,0,0.0,0.0,0.23752483567952884,0.2572184654806415,0.5937983456216149,0.2165279336786068,0.10585220297798514,0.2849486656486988,2.449292875826359,0.08472726935439169,0.07297825068235397,1.1064479127526283,31.32655620574951,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.37399744987487793,0.029935302734375
STABILIZE,0.3710825443267822,29.848236206687968,0.032480510075887044,0.03273129463195801,0,0,0.0,4.624482884168329,-35.24292575871413,66.69689969801206,0,0,0.0,0.0,0.2316657229566216,0.2517531704761639,0.6147311183461984,0.21037056595940404,0.14958303654566407,0.19727726466953754,2.238043025135994,0.0811868834867979,3.3074308186769485,-1.2580638751387596,26.7917662858963,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.4028458595275879,0.034923828125
STABILIZE,0.4045522212982178,29.878641952442692,0.03255203564961751,0.032714128494262695,0,0,0.0,4.624228886508569,-35.24236909829677,66.7213995865649,0,0,0.0,0.0,0.22766038192940868,0.24960802270506519,0.6442960590820073,0.20388569282199626,0.1256666029803455,0.24226333480328321,2.29925699532032,-0.056686501346072914,0.7548116147518158,0.6612530909478664,26.559865474700928,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.4315183162689209,0.034924072265625
