E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.16,0.015,0.11,-0.0014781519830465459,-0.007156613235908271,-2.2172279745698188e-05,-0.14888423855055094,-0.1560630240662049,0.16,0.015,0.11,0.00019926126448774266,0.000964742339889614,2.98891896731614e-06,0.020070237686068384,0.021037968944925316,0.002,8e-05,0,-0.02327072270423547,-0.0014083426807965664,-1.8616578163388377e-06,-0.0,-0.0014102043386129053,0.2,0.02,0.0,-0.0004648862031713034,-0.0028134883903732236,-9.297724063426069e-06,-0.0,-0.0028227861144366497,0.006029639624310088,0.0,-0.006029639624310088,-0.044728832724426695,0.0,0.044728832724426695,-0.7041713403982832,0.0,0.7041713403982832,-0.014067441951866117,0,0.014067441951866117,-0.15605785405336664,-0.021076285400293264,0.0028227861144366497,0.4,0.03304696083068848,0.033347368240356445,STABILIZE
0.16,0.015,0.11,-0.003096904566868925,-0.0076048784703376116,-4.645356850303388e-05,-0.07896660878760586,-0.08661794082644651,0.16,0.015,0.11,0.0003754020067064801,0.0008275069035476183,5.631030100597201e-06,0.008649956120701059,0.009483094054349274,0.002,8e-05,0,-0.04721827672091016,-0.001406316195096184,-3.777462137672813e-06,-0.0,-0.0014100936572338568,0.2,0.02,0.0,-0.0009900731980726112,-0.0030841520427068803,-1.9801463961452223e-05,-0.0,-0.0031039535066683327,0.0051719181471726145,0.0,-0.0051719181471726145,-0.04753049043961007,0.0,0.04753049043961007,-0.7031580975480919,0.0,0.7031580975480919,-0.0154207602135344,0,0.0154207602135344,-0.08661538538051138,-0.009506406326415896,0.0031039535066683327,0.4,0.0340571403503418,0.0673525333404541,STABILIZE
0.16,0.015,0.11,-0.004918425248418684,-0.008708240451604657,-7.377637872628026e-05,-0.06019960273954665,-0.06898161956987758,0.16,0.015,0.11,0.0005694603888620289,0.0009277451914639387,8.541905832930432e-06,0.0064530123416070865,0.007389299438903956,0.002,8e-05,0,-0.0708027503207345,-0.0014093942846222227,-5.664220025658761e-06,-0.0,-0.0014150585046478815,0.2,0.02,0.0,-0.0014886255478361358,-0.0029793195483783213,-2.9772510956722715e-05,-0.0,-0.003009092059335044,0.005798407446649617,0.0,-0.005798407446649617,-0.05442650282252911,0.0,0.05442650282252911,-0.7046971423111114,0.0,0.7046971423111114,-0.014896597741891605,0,0.014896597741891605,-0.06897969605988812,-0.007407234042917733,0.003009092059335044,0.4,0.03346753120422363,0.10082817077636719,STABILIZE
0.16,0.015,0.11,-0.0067988514273732885,-0.00899087788321952,-0.00010198277141059933,-0.046601373107058,-0.055694233761688125,0.16,0.015,0.11,0.0007375526026297695,0.0008036989614481811,1.1063289039446542e-05,0.004202637979507754,0.005017400229995381,0.002,8e-05,0,-0.09455878175474736,-0.001419808312628595,-7.564702540379789e-06,-0.0,-0.0014273730151689748,0.2,0.02,0.0,-0.0019285893249300222,-0.00262949739609709,-3.8571786498600446e-05,-0.0,-0.0026680691825956906,0.005023118509051132,0.0,-0.005023118509051132,-0.056192986770122,0.0,0.056192986770122,-0.7099041563142975,0.0,0.7099041563142975,-0.01314748698048545,0,0.01314748698048545,-0.05569308096794789,-0.005030180082971207,0.0026680691825956906,0.4,0.03346371650695801,0.13428425788879395,STABILIZE
0.16,0.015,0.11,-0.008526161684278222,-0.008269331073095507,-0.00012789242526417332,-0.03431252875726586,-0.042709752255625545,0.16,0.015,0.11,0.0011807566341163582,0.0021217965068188443,1.7711349511745372e-05,0.008784994134651471,0.01092450199098206,0.002,8e-05,0,-0.1182792176957618,-0.0014194912090219674,-9.462337415660945e-06,-0.0,-0.0014289535464376284,0.2,0.02,0.0,-0.0023790369987400782,-0.0026955934312833884,-4.758073997480157e-05,-0.0,-0.00274317417125819,0.013261228167617777,0.0,-0.013261228167617777,-0.05168331920684692,0.0,0.05168331920684692,-0.7097456045109837,0.0,0.7097456045109837,-0.01347796715641694,0,0.01347796715641694,-0.04270718124979731,-0.010934548513077406,0.00274317417125819,0.4,0.03342103958129883,0.1677091121673584,STABILIZE
0.16,0.015,0.11,-0.010114730770350695,-0.0076068033387687185,-0.00015172096155526043,-0.0018093231882489764,-0.009567847488572956,0.16,0.015,0.11,0.0019010943821601224,0.0034493102219480434,2.8516415732401835e-05,0.010233778208142436,0.013711604845822881,0.002,8e-05,0,-0.14211962161881816,-0.0014269859723874355,-1.1369569729505454e-05,-0.0,-0.001438355542116941,0.2,0.02,0.0,-0.0028423673308844485,-0.002773299842928442,-5.684734661768897e-05,0.0,-0.002830147189546131,0.02155818888717527,0.0,-0.02155818888717527,-0.04754252086730449,0.0,0.04754252086730449,-0.7134929861937177,0.0,0.7134929861937177,-0.013866499214642208,0,0.013866499214642208,-0.00956452877972511,-0.01371392001706279,0.002830147189546131,0.4,0.03341364860534668,0.20113325119018555,STABILIZE
0.16,0.015,0.11,-0.012069830923707187,-0.008365876460820104,-0.0001810474638556078,-0.0027908418510339747,-0.011337765775709687,0.16,0.015,0.11,0.0026272904445326056,0.003107394029769914,3.940935666798908e-05,0.009530526200411366,0.012677329586849268,0.002,8e-05,0,-0.16861844405705328,-0.0014173562572670207,-1.3489475524564264e-05,-0.0,-0.0014308457327915848,0.2,0.02,0.0,-0.003373522830224898,-0.0028410189634906495,-6.747045660449796e-05,0.0,-0.0029084894200951477,0.01942121268606196,0.0,-0.01942121268606196,-0.05228672788012565,0.0,0.05228672788012565,-0.7086781286335103,0.0,0.7086781286335103,-0.014205094817453247,0,0.014205094817453247,-0.011334622391795297,-0.0126801401204352,0.0029084894200951477,0.4,0.03739190101623535,0.23852753639221191,STABILIZE
0.16,0.015,0.11,-0.013964841332371627,-0.009056995847510293,-0.0002094726199855744,-0.0010963509228919233,-0.01036281939038779,0.16,0.015,0.11,0.0032233292286975874,0.0028487024495775417,4.834993843046381e-05,0.008056180107397653,0.010953232495405658,0.002,8e-05,0,-0.1922007264696723,-0.0014088618782075381,-1.5376058117573786e-05,-0.0,-0.001424237936325112,0.2,0.02,0.0,-0.00387214876081309,-0.0029789104073978576,-7.744297521626181e-05,0.0,-0.0030563533826141196,0.017804390309859634,0.0,-0.017804390309859634,-0.05660622404693933,0.0,0.05660622404693933,-0.7044309391037691,0.0,0.7044309391037691,-0.014894552036989287,0,0.014894552036989287,-0.010359971649189387,-0.010955926033165786,0.0030563533826141196,0.4,0.033477067947387695,0.27207493782043457,STABILIZE
0.16,0.015,0.11,-0.016009731615005216,-0.009316632079091018,-0.00024014597422507823,-0.0009515832793312063,-0.010508361332647303,0.16,0.015,0.11,0.003717807407957822,0.0022528696558591346,5.576711111936733e-05,0.006232977510786851,0.008541614277765352,0.002,8e-05,0,-0.21672954713261322,-0.0013969331227169214,-1.733836377060906e-05,0.0,-0.0014142714864875305,0.2,0.02,0.0,-0.0043755758539335485,-0.002867051746664557,-8.751151707867097e-05,-0.0,-0.0029545632637432277,0.014080435349119591,0.0,-0.014080435349119591,-0.058228950494318865,0.0,0.058228950494318865,-0.6984665613584607,0.0,0.6984665613584607,-0.014335258733322783,0,0.014335258733322783,-0.0105062239135334,-0.008544243175747097,0.0029545632637432277,0.4,0.03511810302734375,0.3071322441101074,STABILIZE
0.16,0.015,0.11,-0.017937596302913694,-0.009229729418526436,-0.0002690639445437054,-0.0035626100659943705,-0.013061403429064512,0.16,0.015,0.11,0.004306950598013052,0.0028205466219086697,6.460425897019577e-05,0.0031456826941644866,0.0060308335750433525,0.002,8e-05,0,-0.24102670064953677,-0.001454044946775386,-1.9282136051962942e-05,-0.0,-0.001473327082827349,0.2,0.02,0.0,-0.004894385662077469,-0.003104778423298579,-9.788771324154938e-05,-0.0,-0.003202666136540128,0.017628416386929184,0.0,-0.017628416386929184,-0.05768580886579022,0.0,0.05768580886579022,-0.727022473387693,0.0,0.727022473387693,-0.015523892116492893,0,0.015523892116492893,-0.01305976893734168,-0.006034372249861106,0.003202666136540128,0.4,0.03342008590698242,0.34055614471435547,STABILIZE
