Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Raw,East-Raw,Down-Raw,Yaw-Raw,North-Dif,East-Dif,Down-Dif,Yaw-Dif,Landing-State,Q-Size,Kalman-Time,Kalman-Dt
STABILIZE,0.0344851016998291,29.00805720964652,0.033307584126790364,0.03345060348510742,0.0,0.0,0.0,5.707252709609764,-35.936678317996076,-117.62164950803574,0.0,0.0,0,0.0,0.08889549611908028,0.08683621858017548,0.119814584677018,0.08801814134839248,0.29468636494129896,-0.1353927655145526,1.4307676814496517,-0.11553094226347319,3.4552883356809616,-0.41945050470530987,23.440709710121155,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.14447331428527832,0.034849853515625
STABILIZE,0.06883430480957031,29.111140416021765,0.03217819531758626,0.03246593475341797,0.0,0.0,0.0,5.711340150941194,-35.937911167141266,-117.58389222230392,0.0,0.0,0,0.0,0.10548118634912063,0.10307024120294887,0.15121717954004932,0.10501558641728023,0.02798312925733626,0.054759642807766795,1.6925100237131119,0.16864689551985582,1.6852140426635742,1.845044270157814,23.467880487442017,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.17362046241760254,0.03493017578125
STABILIZE,0.1012113094329834,30.88475387504142,0.031477959950764973,0.03158307075500488,0.0,0.0,0.0,5.71404234453158,-35.938764940787514,-117.56714459845904,0.0,0.0,0,0.0,0.11961261703076728,0.11697517928191416,0.1824342652825953,0.11987648404976341,0.02798312925733626,0.054759642807766795,1.6925100237131119,0.16864689551985582,1.6852140426635742,1.845044270157814,23.467880487442017,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.20204496383666992,0.03493017578125
STABILIZE,0.13481736183166504,29.758233649766577,0.03255418141682943,0.03273630142211914,0.0,0.0,0.0,5.715841245604232,-35.9396801861363,-117.54883969148341,0.0,0.0,0,0.0,0.13018393164452224,0.1291143615822241,0.21387290162891745,0.13101502995394237,-0.16353875398635864,0.10672356002032757,1.7619358375668526,-0.0870931561694342,-3.641076758503914,1.7488213256001472,23.000304400920868,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.23138213157653809,0.02993994140625
STABILIZE,0.16852569580078125,29.664995155210093,0.032380135854085286,0.03268694877624512,0.0,0.0,0.0,5.710844962226368,-35.93798629922214,-117.50643787711597,0.0,0.0,0,0.0,0.14774737416436703,0.1450665479205985,0.2701521832914055,0.14478218717229166,0.2563317306339741,0.05442193942144513,1.7769049853086472,-0.06922069888583968,3.2057102769613266,-0.0841358385514468,24.252714216709137,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.2892630100250244,0.03493017578125
STABILIZE,0.20194363594055176,29.924900649966823,0.03237155278523763,0.0325169563293457,0.0,0.0,0.0,5.708887259255513,-35.937323770872645,-117.48525063031059,0.0,0.0,0,0.0,0.1547895594297969,0.15293450465109265,0.3016608060064103,0.15273360049393422,0.03191716969013214,0.13886899687349796,1.8185276538133621,0.16407002844571258,-0.35074292682111263,2.064845897257328,25.877392292022705,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.3178551197052002,0.034929931640625
STABILIZE,0.2426738739013672,24.551783885035267,0.032410415013631184,0.03985929489135742,0.0,0.0,0.0,5.7132137572078925,-35.93758331806111,-117.44835394841418,0.0,0.0,0,0.0,0.15981699329823199,0.15855068922820392,0.331509746717202,0.15931167312165653,-0.02404804981779307,0.039163377368822694,1.6796283423900604,0.1465801284567049,-6.251004338264465,-0.7649190258234739,18.96793842315674,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.3466308116912842,0.02993896484375
STABILIZE,0.2761690616607666,29.857160144932696,0.03245261510213216,0.03263115882873535,0.0,0.0,0.0,5.7158506371143405,-35.93791799733044,-117.4316063245693,0.0,0.0,0,0.0,0.161040740832507,0.1604623966436794,0.3546979089152148,0.16232633942799538,-0.02404804981779307,0.039163377368822694,1.6796283423900604,0.1465801284567049,-6.251004338264465,-0.7649190258234739,18.96793842315674,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.37525057792663574,0.02993896484375
STABILIZE,0.31137681007385254,28.400338558418255,0.03243974049886068,0.03441905975341797,0.0,0.0,0.0,5.719390809538523,-35.93826975207269,-117.39449107661946,0.0,0.0,0,0.0,0.16208885620432115,0.1629839124739495,0.38221257155171007,0.1645602021585206,0.0286309135844931,0.15905217733234167,2.110549621284008,0.12936851865573556,-4.559217393398285,0.07492016884498298,27.34212875366211,0.0,0.0,0.0,0.0,0,0,0,0,False,1,0.403947114944458,0.034929931640625
STABILIZE,0.3448977470397949,29.83316262660749,0.0325501283009847,0.032662391662597656,0.0,0.0,0.0,5.717182950889316,-35.93830390301854,-117.37486111294484,0.0,0.0,0,0.0,0.16633699316094952,0.16679451828523162,0.43884376692514004,0.16934705913189355,-0.0016752543160691857,0.04697169933933765,1.6883302479982376,0.025480342531376564,2.0942319184541702,0.18565490609034896,28.39648127555847,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.4648890495300293,0.02993994140625
STABILIZE,0.3783454895019531,29.896957773786102,0.032462151845296223,0.03257560729980469,0.0,0.0,0.0,5.714003497830675,-35.937112035008376,-117.33237733630736,0.0,0.0,0,0.0,0.1662733667940313,0.16555933591991065,0.45864923942948416,0.1659373212061235,0.10940786451101303,0.009965969366021454,1.5894601121544838,-0.16688534704422722,1.8296873196959496,1.366289146244526,20.674675703048706,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.49570131301879883,0.034928955078125
STABILIZE,0.4118075370788574,29.885028643087182,0.032440932591756184,0.03257322311401367,0.0,0.0,0.0,5.7160205380699445,-35.93791799733044,-117.31407242933173,0.0,0.0,0,0.0,0.16353834333066677,0.16521599840223464,0.4857238333046218,0.1628357478826938,-0.20775168668478727,-0.02304349181940779,1.7111508175730705,-0.23206600237621758,-2.004939317703247,1.3899226672947407,20.918069779872894,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.522942304611206,0.03493017578125
STABILIZE,0.44524288177490234,29.90889643172937,0.032430442174275716,0.0325465202331543,0.0,0.0,0.0,5.718130639636655,-35.938713714368745,-117.29421023922534,0.0,0.0,0,0.0,0.15987565437534434,0.16413577639438318,0.5119063277449947,0.15878997393484173,-0.20775168668478727,-0.02304349181940779,1.7111508175730705,-0.23206600237621758,-2.004939317703247,1.3899226672947407,20.918069779872894,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.5513193607330322,0.03493017578125
STABILIZE,0.4791138172149658,29.521967425426187,0.032416375478108723,0.03301262855529785,0.0,0.0,0.0,5.722198017287398,-35.93909962005685,-117.25844736873114,0.0,0.0,0,0.0,0.1597592415587547,0.1629794440380848,0.538164347983105,0.15450934893413484,0.10720986174419522,0.018338912923354656,1.783851534128189,-0.19011345970969187,3.5740144550800323,-0.3818376921117306,22.457365691661835,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.579913854598999,0.02993994140625
STABILIZE,0.5125102996826172,29.942845720567973,0.032482179005940755,0.03260231018066406,0.0,0.0,0.0,5.720285564319795,-35.938956186084276,-117.23970532964863,0.0,0.0,0,0.0,0.15562566999870187,0.16077309342527205,0.5554551737857416,0.15281576966560628,-0.0591967545915395,0.07573895854875445,1.6576135531067848,0.1217503097504458,1.3838360086083412,1.6874903813004494,23.015913367271423,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.6089463233947754,0.06985888671875
STABILIZE,0.5481200218200684,28.088424577264355,0.03253773053487142,0.032656192779541016,0.0,0.0,0.0,5.715990655992326,-35.93706422368418,-117.19555498685367,0.0,0.0,0,0.0,0.1629334874010187,0.1643764684935022,0.6271310374335507,0.15511510035354986,0.20976259838789701,0.07181160617619753,1.43600357696414,0.06486606642377309,2.902545966207981,-0.5674055777490139,18.99927854537964,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.6660621166229248,0.02991650390625
STABILIZE,0.579463005065918,31.897545876966834,0.0303378423055013,0.030465126037597656,0.0,0.0,0.0,5.715469427181289,-35.93703348783292,-117.17578841939564,0.0,0.0,0,0.0,0.1537305428429658,0.15795001051941052,0.6410113545507558,0.15099361988896698,-0.2650528447702527,-0.08582901209592819,1.77703108638525,0.05091606538457657,-1.3781670480966568,-0.383590254932642,22.807900607585907,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.6950788497924805,0.034929931640625
STABILIZE,0.6130404472351074,29.783802591869343,0.032471688588460286,0.03261280059814453,0.0,0.0,0.0,5.718001719816072,-35.93793165770877,-117.1562130972344,0.0,0.0,0,0.0,0.14746363454317984,0.15101021991190974,0.6626318813457266,0.14744983573016268,-0.13222264824435115,-0.17177575500681996,1.8994802609086037,0.03216486824568421,-4.4974371790885925,1.8178563565015793,26.75883173942566,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.723487138748169,0.034929931640625
