E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.03,0.005,0.03,-0.0009666476851669066,-0.0008804820191728057,-4.833238425834533e-06,-0.02673323479976963,-0.027618550057368272,0.03,0.005,0.03,-0.0009512383996547235,-0.0008664462965098641,-4.756191998273617e-06,-0.026307081554885217,-0.027178284043393355,0.002,8e-05,0,-0.0010941400155493194,-6.644065705505994e-05,-8.753120124394556e-08,-0.0,-6.65281882563039e-05,0.2,0.02,0.005,-0.0009742134336158474,-0.005915822446984188,-1.9484268672316947e-05,-0.004490411702488647,-0.010425718418145151,-0.02888154321699547,0.0,0.02888154321699547,-0.029349400639093526,0.0,0.029349400639093526,-0.03322032852752997,0.0,0.03322032852752997,-0.029579112234920938,0,0.029579112234920938,-0.027632577244246462,0.027164022265774253,0.010425718418145151,0.4,0.03293585777282715,0.03323101997375488,STABILIZE
0.03,0.005,0.03,-0.004939741258988637,-0.003565459245242259,-2.4698706294943185e-05,-0.053524983905651004,-0.057115141857188204,0.03,0.005,0.03,-0.004743388303893122,-0.003403080165163513,-2.371694151946561e-05,-0.05109318197784725,-0.054519979084530226,0.002,8e-05,0,-0.006314562596726009,-0.000312320925919762,-5.051650077380808e-07,-0.0,-0.0003128260909275001,0.2,0.02,0.005,-0.005035282845990186,-0.024296059167135245,-0.00010070565691980373,-0.009117892475025343,-0.03351465729908039,-0.11343600550545044,0.0,0.11343600550545044,-0.11884864150807531,0.0,0.11884864150807531,-0.156160462959881,0.0,0.156160462959881,-0.12148029583567621,0,0.12148029583567621,-0.05723060835082602,0.05439875932903901,0.03351465729908039,0.4,0.033429861068725586,0.06660223007202148,STABILIZE
0.03,0.005,0.03,-0.009299399388923123,-0.003907959123125543,-4.6496996944615616e-05,-0.03909458784662118,-0.04304904396669134,0.03,0.005,0.03,-0.008874902230692198,-0.003703452670220571,-4.4374511153460995e-05,-0.037053802053584724,-0.04080162923495875,0.002,8e-05,0,-0.012526026488892308,-0.0003711934324801589,-1.0020821191113848e-06,-0.0,-0.0003721955145992703,0.2,0.02,0.005,-0.00957927547131377,-0.027154632934204167,-0.0001915855094262754,-0.006790372852878333,-0.03413659129650878,-0.12344842234068572,0.0,0.12344842234068572,-0.13026530410418477,0.0,0.13026530410418477,-0.18559671624007945,0.0,0.18559671624007945,-0.13577316467102082,0,0.13577316467102082,-0.04314561016908484,0.04069950193565675,0.03413659129650878,0.4,0.03346753120422363,0.1000666618347168,STABILIZE
0.03,0.005,0.03,-0.0139495764880091,-0.0041722119464800015,-6.97478824400455e-05,-0.03129670575548958,-0.03553866558440963,0.03,0.005,0.03,-0.013224645301019178,-0.0039026578161300445,-6.612322650509589e-05,-0.0292797680933186,-0.033248549135953744,0.002,8e-05,0,-0.019656086537963503,-0.00042648012583867414,-1.5724869230370804e-06,-0.0,-0.0004280526127617112,0.2,0.02,0.005,-0.014382017985504324,-0.028727306891188926,-0.0002876403597100865,-0.005386743760604967,-0.034401691011503976,-0.1300885938710015,0.0,0.1300885938710015,-0.1390737315493334,0.0,0.1390737315493334,-0.21324006291933706,0.0,0.21324006291933706,-0.14363653445594463,0,0.14363653445594463,-0.035621905622557674,0.033159351787754025,0.034401691011503976,0.4,0.03343677520751953,0.133530855178833,STABILIZE
0.03,0.005,0.03,-0.019411524007613132,-0.004897716371836509,-9.705762003806567e-05,-0.02937441946031969,-0.03436919345219427,0.03,0.005,0.03,-0.018343509495441154,-0.0045900743059584985,-9.171754747720577e-05,-0.027533180208420698,-0.0322149720618564,0.002,8e-05,0,-0.02874165635066641,-0.0005431340360976169,-2.299332508053313e-06,-0.0,-0.0005454333686056702,0.2,0.02,0.005,-0.02011139257821786,-0.034250117615131664,-0.00040222785156435723,-0.0051347770541164675,-0.03978712252081249,-0.1530024768652833,0.0,0.1530024768652833,-0.16325721239455032,0.0,0.16325721239455032,-0.27156701804880845,0.0,0.27156701804880845,-0.17125058807565832,0,0.17125058807565832,-0.034465326689897824,0.03211210269756807,0.03978712252081249,0.4,0.03345608711242676,0.16696882247924805,STABILIZE
0.03,0.005,0.03,-0.025001301752487978,-0.004955834522692875,-0.00012500650876243988,-0.024371285190320967,-0.02945212622177628,0.03,0.005,0.03,-0.02360969314777313,-0.004668939614101241,-0.00011804846573886566,-0.022737904573722448,-0.027524892653562553,0.002,8e-05,0,-0.03869996310150151,-0.0005885949034807775,-3.095997048120121e-06,-0.0,-0.0005916909005288976,0.2,0.02,0.005,-0.026067435427028135,-0.03520374048960554,-0.0005213487085405627,-0.00437760661204739,-0.040102695810193496,-0.15563132047004136,0.0,0.15563132047004136,-0.1651944840897625,0.0,0.1651944840897625,-0.29429745174038874,0.0,0.29429745174038874,-0.1760187024480277,0,0.1760187024480277,-0.02953654649192209,0.027434282857477958,0.040102695810193496,0.4,0.03383755683898926,0.2008073329925537,STABILIZE
0.03,0.005,0.03,-0.030603209338557997,-0.005020964055877386,-0.00015301604669278997,-0.008697107265613608,-0.013871087368183785,0.03,0.005,0.03,-0.028776731479692258,-0.0046311927394909235,-0.0001438836573984613,-0.007336499090560972,-0.012111575487450357,0.002,8e-05,0,-0.04942856662959864,-0.0006410665397656762,-3.954285330367891e-06,-0.0,-0.0006450208250960441,0.2,0.02,0.005,-0.03205287010926371,-0.03576478421152723,-0.0006410574021852742,-0.0017123421146502276,-0.038118183728362724,-0.15437309131636412,0.0,0.15437309131636412,-0.16736546852924622,0.0,0.16736546852924622,-0.3205332698828381,0.0,0.3205332698828381,-0.17882392105763611,0,0.17882392105763611,-0.013908820776289512,0.01206822398603263,0.038118183728362724,0.4,0.033471107482910156,0.23432421684265137,STABILIZE
0.03,0.005,0.03,-0.03662984703745186,-0.0051229970694660325,-0.0001831492351872593,-0.007228575268237938,-0.01253472157289123,0.03,0.005,0.03,-0.03408423691426681,-0.00451169228116882,-0.00017042118457133407,-0.004864274454415507,-0.009546387920155662,0.002,8e-05,0,-0.062286602695207985,-0.0007286725409680802,-4.982928215616639e-06,-0.0,-0.0007336554691836968,0.2,0.02,0.005,-0.03808091669789319,-0.03416129805825399,-0.0007616183339578638,-0.0010580991111608636,-0.035981015503372724,-0.15038974270562736,0.0,0.15038974270562736,-0.17076656898220108,0.0,0.17076656898220108,-0.3643362704840401,0.0,0.3643362704840401,-0.17080649029126996,0,0.17080649029126996,-0.012563124908936091,0.009508977850140795,0.035981015503372724,0.4,0.03529167175292969,0.26958131790161133,STABILIZE
0.03,0.005,0.03,-0.04219314340125454,-0.004985788764967458,-0.0002109657170062727,-0.004828195643846009,-0.01002495012581974,0.03,0.005,0.03,-0.03888060244077129,-0.004298470509375767,-0.00019440301220385644,-0.0023988217647180864,-0.006891695286297709,0.002,8e-05,0,-0.07499093278252109,-0.0007590356756579256,-5.999274622601687e-06,-0.0,-0.0007650349502805273,0.2,0.02,0.005,-0.04398981746847038,-0.035303447391292264,-0.0008797963493694076,-0.000993525572165768,-0.03717676931282744,-0.14328235031252556,0.0,0.14328235031252556,-0.1661929588322486,0.0,0.1661929588322486,-0.37951783782896276,0.0,0.37951783782896276,-0.17651723695646132,0,0.17651723695646132,-0.01004613449989006,0.006860777693124152,0.03717676931282744,0.4,0.03347492218017578,0.30308055877685547,STABILIZE
0.03,0.005,0.03,-0.04819200900829614,-0.0053821229559944585,-0.00024096004504148071,-0.002861721591581936,-0.008484804592617875,0.03,0.005,0.03,-0.04385119118380322,-0.004459563112612049,-0.0002192559559190161,0.0007470060218052035,-0.003931813046725862,0.002,8e-05,0,-0.08978909704760694,-0.0008851177852048752,-7.183127763808556e-06,-0.0,-0.0008923009129686838,0.2,0.02,0.005,-0.05043857539726963,-0.0385717460153363,-0.0010087715079453927,-0.0006568577325120542,-0.040237375255793746,-0.14865210375373497,0.0,0.14865210375373497,-0.17940409853314862,0.0,0.17940409853314862,-0.4425588926024376,0.0,0.4425588926024376,-0.19285873007668147,0,0.19285873007668147,-0.008497991061561362,0.0039032308062599,0.040237375255793746,0.4,0.03343772888183594,0.3365516662597656,STABILIZE
0.03,0.005,0.03,-0.05559597710563147,-0.005262997639737528,-0.00027797988552815734,-0.001953686157380218,-0.007494663682645903,0.03,0.005,0.03,-0.04977873738591441,-0.00421350568519791,-0.00024889368692957207,0.00237918779271141,-0.002083211579416072,0.002,8e-05,0,-0.10909851232314229,-0.0009150535288091357,-8.727880985851383e-06,-0.0,-0.000923781409794987,0.2,0.02,0.005,-0.058405830845366255,-0.03775601233218857,-0.0011681166169073252,-0.00041930386244916476,-0.03934343281154506,-0.140450189506597,0.0,0.140450189506597,-0.1754332546579176,0.0,0.1754332546579176,-0.45752676440456785,0.0,0.45752676440456785,-0.18878006166094283,0,0.18878006166094283,-0.007501486825083674,0.0020585066464990365,0.03934343281154506,0.4,0.04220390319824219,0.3787047863006592,STABILIZE
0.03,0.005,0.03,-0.06139222439589713,-0.005193448138175323,-0.00030696112197948567,-0.0011490742785615052,-0.006649483538716314,0.03,0.005,0.03,-0.05424301047288543,-0.003999996823940407,-0.0002712150523644272,0.003429000982354298,-0.0008422108939505359,0.002,8e-05,0,-0.12510809559836122,-0.000956307719919448,-1.0008647647868899e-05,-0.0,-0.0009663163675673169,0.2,0.02,0.005,-0.06465066029889366,-0.037302523827916004,-0.0012930132059778732,-0.0002677726225836443,-0.038863309656477524,-0.13333322746468024,0.0,0.13333322746468024,-0.17311493793917745,0.0,0.17311493793917745,-0.47815385995972404,0.0,0.47815385995972404,-0.18651261913958,0,0.18651261913958,-0.006652189917416222,0.0008205606767169337,0.038863309656477524,0.4,0.03348207473754883,0.4122035503387451,STABILIZE
0.03,0.005,0.03,-0.06688638227965307,-0.004926072763674458,-0.0003344319113982654,0.0010273481138544805,-0.004233156561218243,0.03,0.005,0.03,-0.058340088379629174,-0.003673448108714598,-0.0002917004418981459,0.004703679589082632,0.0007385310384698885,0.002,8e-05,0,-0.14191500763724013,-0.0010046073591608662,-1.1353200610979212e-05,-0.0,-0.0010159605597718454,0.2,0.02,0.005,-0.07098352909941939,-0.03785375080735396,-0.0014196705819883879,-0.000577320769995469,-0.039850742159337815,-0.1224482702904866,0.0,0.1224482702904866,-0.16420242545581526,0.0,0.16420242545581526,-0.5023036795804331,0.0,0.5023036795804331,-0.1892687540367698,0,0.1892687540367698,-0.0042306938330821785,-0.000752510635997189,0.039850742159337815,0.4,0.03345966339111328,0.44568824768066406,STABILIZE
