Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Avg,East-Avg,Down-Avg,Yaw-Avg,North-Dif,East-Dif,Down-Dif,Yaw-Dif,North-One,East-One,Down-One,Yaw-One,North-Two,East-Two,Down-Two,Yaw-Two,Landing-State,Q-Size,Kalman-Time,Kalman-Dt,CH1-Thrust,CH2-Roll,CH3-Pitch,CH4-Yaw
STABILIZE,0.03463292121887207,28.881219616322145,0.0327182133992513,0.03316354751586914,-10,40,10,1.5108983556139985,-1.4992031507642327,0.17111203352127508,3.9975485023247126,4.002449996135049,0.0070442403892873534,0.5182772910141371,-0.02798684943256047,-0.02192826769629322,0.8735046029657906,0.035104365776495304,0.21743993274867535,0.2061591250821948,1.5943549573421478,-0.4325813866245893,-0.2654850482940674,9.875468909740448,13.895376026630402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.431910991668701,0.034919921875,982,1494,1494,1493
STABILIZE,0.06909680366516113,29.016887240828243,0.032326491673787434,0.03355002403259277,-10,40,10,1.5094079869927606,-1.4987915251450337,0.1762424794235199,3.997777185638913,4.002221579821015,0.006411475171206835,0.5183182036380543,-0.0317793516006418,-0.019758956769815768,0.8656644334432321,0.031830630278207594,-0.27808595914393663,0.08188181091099977,1.3338781893253326,-0.1317504937679246,-10.722913593053818,-5.8539386838674545,8.82311537861824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,3.4606497287750244,0.02993115234375,982,1494,1494,1494
STABILIZE,0.10273909568786621,29.724912121555732,0.032445700963338216,0.03275299072265625,-10,40,10,1.509428370838565,-1.4991093423848507,0.1738917070700587,3.9977799089371775,4.002218859545072,0.006425053691592355,0.5183635221611358,-0.031392136156486734,-0.01761968992068716,0.8553024814251502,0.031791643543750095,-0.020699760352727026,0.15291415620595217,1.641683466732502,-0.07154703196867693,-5.022339895367622,4.2394183576107025,21.02382779121399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.5184502601623535,0.034920166015625,982,1494,1494,1494
STABILIZE,0.1362905502319336,29.80454354885701,0.03243616422017415,0.032590389251708984,-10,40,10,1.508459017584952,-1.499346584736803,0.1724878230511434,3.997934391279731,4.002064542585835,0.00600254825377434,0.5183900554524705,-0.03060249217519912,-0.01419799825142399,0.8542901115366457,0.029580031137785026,-0.020699760352727026,0.15291415620595217,1.641683466732502,-0.07154703196867693,-5.022339895367622,4.2394183576107025,21.02382779121399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.54701566696167,0.034920166015625,982,1494,1494,1494
STABILIZE,0.16979551315307617,29.844838014188433,0.03234127362569173,0.032654523849487305,-10,40,10,1.509760382065251,-1.5009823083213152,0.17743190617466736,3.9982244114743986,3.7212172920349236,0.005574090477693617,0.5184162675250034,-0.02982327601090247,-0.010777244373922629,0.8534793006537397,0.02734584302205717,-0.020699760352727026,0.15291415620595217,1.641683466732502,-0.07154703196867693,-5.022339895367622,4.2394183576107025,21.02382779121399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.575678586959839,0.034920166015625,982,1494,1494,1494
STABILIZE,0.20358610153198242,29.595918684156675,0.03249386151631673,0.03290843963623047,-10,40,10,1.5105067936754863,-1.501327232874401,0.17518147890506716,3.999141277859299,1.7233136595028877,0.005837570648944997,0.5184440306799644,-0.03453225642373645,-0.00830684308633204,0.8519456109558097,0.028566846273673483,-0.3269876120612025,0.10065262904390693,1.5916462987661362,0.12228098343244406,5.731040984392166,4.189283028244972,18.331168591976166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.60440731048584,0.06485205078125,982,1494,1494,1494
STABILIZE,0.23720836639404297,29.741985349907463,0.03243211110432943,0.03266191482543945,-10,40,10,1.5111205502054357,-1.5011447387575145,0.17314429494383154,3.999184066383913,1.727372661395355,0.005558137905705822,0.5184183485678165,-0.03856937373557328,-0.008216191845046645,0.8770368266535682,0.027078780244787676,-0.21342842373996973,-0.050135026685893536,1.765427365899086,-0.06819164150794867,-4.218698292970657,0.3258146811276674,23.82630854845047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.6331770420074463,0.064851806640625,982,1494,1494,1494
STABILIZE,0.27074146270751953,29.82022423979581,0.032357247670491536,0.032686471939086914,-10,40,10,1.5105853408509415,-1.501209412111218,0.17940293601853174,3.9991092188782713,1.7295536733550718,0.006067623519418751,0.5183632172747326,-0.04294592518266127,-0.005632016779676719,0.9168174071688178,0.029526939798054822,-0.004651567724067718,0.09098894661292434,1.5850776806473732,0.2423097653469293,-2.311519905924797,0.02909404574893415,8.931954950094223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.6906850337982178,0.039908935546875,982,1494,1494,1494
STABILIZE,0.3044126033782959,29.698813266491065,0.03248647054036458,0.03268003463745117,-10,40,10,1.5100720094461328,-1.500830123168871,0.17668473417227823,3.9989824763395863,1.7406634737214484,0.00688780456889719,0.5183911424407601,-0.033372816845730624,-0.004561749090165348,0.9150480513754703,0.03351538964567141,0.3546750172972679,0.02366417902521789,1.7523102462291718,0.23649428615548657,1.7153654247522354,-1.681436412036419,19.335897266864777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.720329999923706,0.02993212890625,982,1494,1494,1494
STABILIZE,0.33817481994628906,29.62476603499057,0.032324822743733723,0.03274178504943848,-10,40,10,1.5108993161093507,-1.5009378053700044,0.17643205719362742,3.9991120819064174,1.7466848170546705,0.0060329737174172945,0.5184483908397163,-0.03080385908423459,-0.0021811026020146203,0.8986977847954668,0.029142980496114485,0.034877422149293125,0.09416934917680919,1.4357425272464752,-0.1284004327223788,-0.10202857665717602,3.8384027779102325,5.2419934421777725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,3.7480721473693848,0.029930908203125,982,1494,1494,1494
