Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Raw,East-Raw,Down-Raw,Yaw-Raw,North-Dif,East-Dif,Down-Dif,Yaw-Dif,Landing-State,Q-Size,Kalman-Time,Kalman-Dt
STABILIZE,0.03441739082336426,29.089335376975733,0.03330066998799642,0.03344869613647461,0.0,0.0,0.0,4.724944721575462,-35.23304589007971,89.57284247378557,0.0,0.0,0,0.0,0.03060270710936019,0.030950323876804492,0.03563840985147149,0.02890770205791875,-0.047830387484282255,0.6446741987019777,2.755613625049591,-0.19201721485827425,-4.430001974105835,2.4321915581822395,30.95550239086151,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.05878090858459473,0.0349248046875
STABILIZE,0.06762218475341797,30.087400648474937,0.032290013631184895,0.032387733459472656,0.0,0.0,0.0,4.725051016394421,-35.23296051271508,89.58631160682883,0.0,0.0,0,0.0,0.056417490571183,0.05874882982353102,0.07255843559826036,0.052934506777461275,-0.047830387484282255,0.6446741987019777,2.755613625049591,-0.19201721485827425,-4.430001974105835,2.4321915581822395,30.95550239086151,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.08740544319152832,0.0349248046875
STABILIZE,0.10111451148986816,29.85928567869067,0.03253057797749837,0.032712459564208984,0.0,0.0,0.0,4.725801056542652,-35.23365036182125,89.61199311810809,0.0,0.0,0,0.0,0.10429026787068597,0.10926372994896723,0.1514548980346235,0.09059412909207155,1.2338273227214813,0.8316315710544586,2.836224064230919,-0.17568204372582183,11.211520433425903,2.3433005437254906,26.948413252830505,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.14645886421203613,0.02993505859375
STABILIZE,0.13460755348205566,29.856522543813444,0.03254535992940267,0.03267931938171387,0.0,0.0,0.0,4.726758563686923,-35.2338894184422,89.62326293023861,0.0,0.0,0,0.0,0.12409717594063173,0.12763654324615373,0.1865524627905694,0.10091619840658428,1.2338273227214813,0.8316315710544586,2.836224064230919,-0.17568204372582183,11.211520433425903,2.3433005437254906,26.948413252830505,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.17478656768798828,0.02993505859375
STABILIZE,0.1680908203125,29.865451438336656,0.03249409993489583,0.03262734413146973,0.0,0.0,0.0,4.726780334914903,-35.23353083351078,89.64955232835398,0.0,0.0,0,0.0,0.1416619468788831,0.14482736131135068,0.2239152625936887,0.11018454862663227,0.898413360118866,0.7933186367154121,3.033064864575863,-0.01057276264426281,1.6721369698643684,4.303104802966118,31.08619451522827,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.20348024368286133,0.03492578125
STABILIZE,0.20153403282165527,29.90207317420937,0.03247216542561849,0.032608747482299805,0.0,0.0,0.0,4.727228992966008,-35.233616210875404,89.66038500837762,0.0,0.0,0,0.0,0.15743426641769287,0.1623172690082712,0.27068868677204594,0.11979373799132535,0.1210496062412858,0.34181447699666023,3.164711967110634,-0.17587198168168638,-1.2203526683151722,2.9697375372052193,25.358828902244568,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.2321949005126953,0.034925048828125
STABILIZE,0.24317312240600586,24.01561990048612,0.03248146375020345,0.04083657264709473,0.0,0.0,0.0,4.727474452889306,-35.23292294667464,89.68720716124827,0.0,0.0,0,0.0,0.1692761243737598,0.17667582280988037,0.31570107096873656,0.13064326819518482,-0.08433546172454953,0.1937207649461925,2.755764126777649,0.2669990315666742,-5.084448680281639,-1.1377879418432713,25.071921944618225,0.0,0.0,0.0,0.0,0,0,0,0,False,1,0.26091480255126953,0.034925048828125
STABILIZE,0.2770969867706299,29.47860250346141,0.032514127095540364,0.03305315971374512,0.0,0.0,0.0,4.7280084883050355,-35.2337528146588,89.69841550167625,0.0,0.0,0,0.0,0.19851710330784675,0.2100978521629084,0.39889973148688174,0.1465903585025718,0.5887145176529884,0.7595550734549761,2.33337190002203,0.14555648053527567,2.306361123919487,1.382615603506565,20.870406925678253,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.31896066665649414,0.0349248046875
STABILIZE,0.31055307388305664,29.88864897991178,0.032456191380818684,0.032648563385009766,0.0,0.0,0.0,4.728599726555065,-35.233479607092,89.71213052152964,0.0,0.0,0,0.0,0.2116862626977732,0.22606518193735906,0.4431168273698144,0.15217143953750933,0.5992279388010502,0.8171732537448406,2.6681195944547653,0.08631223342759166,-0.037400564178824425,3.3036455512046814,21.76935225725174,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.3471715450286865,0.03492626953125
STABILIZE,0.3439936637878418,29.902499536594757,0.03251651128133138,0.03263211250305176,0.0,0.0,0.0,4.729333545004018,-35.23412847506315,89.73622742892144,0.0,0.0,0,0.0,0.21379265080056856,0.2360554516647696,0.4907682746379097,0.15726024930607987,-0.33923201262950897,0.33245536033064127,3.000761568546295,0.14480547989169162,-3.665946051478386,0.8307038806378841,25.07619559764862,0.0,0.0,0.0,0.0,0,0,0,0,False,0,0.37554001808166504,0.02993505859375
