E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.03,0.005,0.03,-0.004645839013997055,-0.004210440970555651,-2.3229195069985275e-05,-0.12719491652008735,-0.131428586685713,0.03,0.005,0.03,-0.0044884274966567,-0.004067781722172236,-2.24421374832835e-05,-0.12288526550827132,-0.12697548936792685,0.002,8e-05,0,-0.006417524973053025,-0.00038773922205366133,-5.13401997844242e-07,-0.0,-0.0003882526240515056,0.2,0.02,0,-0.004615357901707277,-0.027885443217151185,-9.230715803414554e-05,-0.0,-0.02797775037518533,-0.13559272407240788,0.0,0.13559272407240788,-0.14034803235185503,0.0,0.14034803235185503,-0.19386961102683067,0.0,0.19386961102683067,-0.13942721608575592,0,0.13942721608575592,-0.13173718751820965,0.12665528699276848,0.02797775037518533,0.4,0.03310227394104004,0.03337430953979492,STABILIZE
0.03,0.005,0.03,-0.009585976412846305,-0.0044380333529167905,-4.7929882064231526e-05,-0.06700513198191159,-0.0714910952168926,0.03,0.005,0.03,-0.009246569152756217,-0.004274535233087102,-4.6232845763781086e-05,-0.06453829219026984,-0.06885906026912073,0.002,8e-05,0,-0.013636071286687222,-0.0004323246732225918,-1.0908857029349779e-06,-0.0,-0.0004334155589255268,0.2,0.02,0,-0.00947430331162234,-0.029100623522776415,-0.00018948606623244682,-0.0,-0.02929010958900886,-0.14248450776957008,0.0,0.14248450776957008,-0.14793444509722636,0.0,0.14793444509722636,-0.2161623366112959,0.0,0.2161623366112959,-0.14550311761388207,0,0.14550311761388207,-0.07166573266941499,0.06867728618264665,0.02929010958900886,0.4,0.03339409828186035,0.06670308113098145,STABILIZE
0.03,0.005,0.03,-0.014803993418952222,-0.0046790511036917835,-7.401996709476111e-05,-0.04707145653561691,-0.05182452760640345,0.03,0.005,0.03,-0.014205555817618539,-0.004446775853789905,-7.10277790880927e-05,-0.04474163910978413,-0.049259442742662134,0.002,8e-05,0,-0.021789865313288248,-0.0004874395630217254,-1.74318922506306e-06,-0.0,-0.0004891827522467885,0.2,0.02,0,-0.014570551893498887,-0.030465733788415474,-0.00029141103786997776,-0.0,-0.03075714482628545,-0.14822586179299685,0.0,0.14822586179299685,-0.15596837012305945,0.0,0.15596837012305945,-0.2437197815108627,0.0,0.2437197815108627,-0.15232866894207736,0,0.15232866894207736,-0.051955307263407115,0.04912148621641489,0.03075714482628545,0.4,0.033455610275268555,0.10016465187072754,STABILIZE
0.03,0.005,0.03,-0.021553343019075175,-0.004803343310818141,-0.00010776671509537587,-0.005655991643298961,-0.010567101669212478,0.03,0.005,0.03,-0.020639167020869174,-0.004578640190304506,-0.00010319583510434587,-0.0048226011670548805,-0.009504437192463733,0.002,8e-05,0,-0.033266387257364444,-0.0005445035761720585,-2.6613109805891557e-06,-0.0,-0.0005471648871526477,0.2,0.02,0,-0.021173450613314646,-0.03132745254669569,-0.0004234690122662929,-0.0,-0.03175092155896198,-0.15262133967681688,0.0,0.15262133967681688,-0.16011144369393804,0.0,0.16011144369393804,-0.27225178808602923,0.0,0.27225178808602923,-0.15663726273347844,0,0.15663726273347844,-0.010593045720589842,0.009475512988458949,0.03175092155896198,0.4,0.04215407371520996,0.14234638214111328,STABILIZE
0.03,0.005,0.03,-0.027129806080812762,-0.00500514608373478,-0.00013564903040406382,-0.005396740018915104,-0.010537535133053947,0.03,0.005,0.03,-0.025829718850679726,-0.004658772034491636,-0.00012914859425339862,-0.003557963953472591,-0.008345884582217626,0.002,8e-05,0,-0.04394292421129086,-0.0006388473187057946,-3.5154339369032693e-06,-0.0,-0.0006423627526426979,0.2,0.02,0,-0.026372049813275865,-0.0311066329302587,-0.0005274409962655174,-0.0,-0.03163407392652422,-0.15529240114972123,0.0,0.15529240114972123,-0.16683820279115932,0.0,0.16683820279115932,-0.3194236593528973,0.0,0.3194236593528973,-0.1555331646512935,0,0.1555331646512935,-0.010560151733421055,0.008317249034817247,0.03163407392652422,0.4,0.03342437744140625,0.17575550079345703,STABILIZE
0.03,0.005,0.03,-0.033118639878016984,-0.005081626823440522,-0.0001655931993900849,-0.0037164292700356846,-0.00896364929286629,0.03,0.005,0.03,-0.03149386111256765,-0.004806120561106505,-0.00015746930556283825,-0.0032310498410882357,-0.008194639707757578,0.002,8e-05,0,-0.056255385674735356,-0.0006964887940222545,-4.500430853978829e-06,-0.0,-0.0007009892248762334,0.2,0.02,0,-0.031931451840604363,-0.031448311330719625,-0.0006386290368120873,-0.0,-0.032086940367531715,-0.16020401870355017,0.0,0.16020401870355017,-0.16938756078135075,0.0,0.16938756078135075,-0.34824439701112725,0.0,0.34824439701112725,-0.15724155665359812,0,0.15724155665359812,-0.008986104738138323,0.008170009193426135,0.032086940367531715,0.4,0.03535580635070801,0.21111226081848145,STABILIZE
0.03,0.005,0.03,-0.03884491845384329,-0.005126120289917379,-0.00019422459226921645,-0.0031761465117197307,-0.008496491393906326,0.03,0.005,0.03,-0.03696404613218389,-0.004896867319210122,-0.00018482023066091944,-0.003090952569433477,-0.00817264011930452,0.002,8e-05,0,-0.06894899220519334,-0.0007575478923047791,-5.515919376415467e-06,-0.0,-0.0007630638116811946,0.2,0.02,0,-0.037389948688194216,-0.032576027720112304,-0.0007477989737638843,-0.0,-0.033323826693876187,-0.1632289106403374,0.0,0.1632289106403374,-0.1708706763305793,0.0,0.1708706763305793,-0.3787739461523896,0.0,0.3787739461523896,-0.1628801386005615,0,0.1628801386005615,-0.008519690168570885,0.008148453347595891,0.033323826693876187,0.4,0.03351235389709473,0.24463510513305664,STABILIZE
0.03,0.005,0.03,-0.04451170548542817,-0.005079187564370647,-0.00022255852742714084,-0.0006962135908073865,-0.005997959682605174,0.03,0.005,0.03,-0.04220724763725738,-0.004699524392504044,-0.00021103623818628691,-0.000326482611699368,-0.005237043242389699,0.002,8e-05,0,-0.08228242656024017,-0.0007967244176643016,-6.582594124819214e-06,-0.0,-0.0008033070117891209,0.2,0.02,0,-0.04271458861534839,-0.031816788775265996,-0.0008542917723069678,-0.0,-0.032671080547572964,-0.15665081308346815,0.0,0.15665081308346815,-0.16930625214568826,0.0,0.16930625214568826,-0.3983622088321508,0.0,0.3983622088321508,-0.15908394387633,0,0.15908394387633,-0.0060124773970544,0.00522036951055447,0.032671080547572964,0.4,0.03347063064575195,0.27811384201049805,STABILIZE
0.03,0.005,0.03,-0.050191968937213935,-0.005099621503941075,-0.00025095984468606966,-0.00017899093398609928,-0.0055295722826132435,0.03,0.005,0.03,-0.04746389650289287,-0.00471930920482828,-0.00023731948251446436,0.0008653543706559678,-0.004091274316686776,0.002,8e-05,0,-0.09655115619244276,-0.0008540110986510155,-7.724092495395421e-06,-0.0,-0.000861735191146411,0.2,0.02,0,-0.04800733745761884,-0.03167812671613109,-0.0009601467491523769,-0.0,-0.03263827346528347,-0.15731030682760933,0.0,0.15731030682760933,-0.16998738346470252,0.0,0.16998738346470252,-0.42700554932550777,0.0,0.42700554932550777,-0.15839063358065547,0,0.15839063358065547,-0.00554086121383605,0.00407597254309113,0.03263827346528347,0.4,0.033415794372558594,0.311542272567749,STABILIZE
0.03,0.005,0.03,-0.05588866150437629,-0.005110943405608411,-0.0002794433075218815,0.00015070299468206128,-0.005239683718448231,0.03,0.005,0.03,-0.052705117527290145,-0.004702304664708789,-0.00026352558763645075,0.0019374864127815114,-0.0030283438395637277,0.002,8e-05,0,-0.11187461989492413,-0.0009165242795176106,-8.94996959159393e-06,-0.0,-0.0009254742491092045,0.2,0.02,0,-0.05323188837090626,-0.031248990793304916,-0.0010646377674181254,0.0,-0.03231362856072304,-0.1567434888236263,0.0,0.1567434888236263,-0.17036478018694703,0.0,0.17036478018694703,-0.4582621397588053,0.0,0.4582621397588053,-0.15624495396652457,0,0.15624495396652457,-0.005247922485848279,0.0030140440379203296,0.03231362856072304,0.4,0.03343820571899414,0.34499526023864746,STABILIZE
