E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.16,0.015,0.11,0.0011995697562808742,0.0057578579544507145,1.7993546344213114e-05,0.11875423477045469,0.12453008627124962,0.16,0.015,0.11,0.004432769848715436,0.021277011195086598,6.649154773073154e-05,0.4388324968527208,0.4601759995955381,0.002,8e-05,0,-0.021737904766604838,-0.001304256872288355,-1.739032381328387e-06,-0.0,-0.0013059959046696835,0.2,0.02,0.0,-0.00017100215706588963,-0.001025999243827553,-3.4200431413177928e-06,-0.0,-0.001029419286968871,0.13298131996929125,0.0,-0.13298131996929125,0.03598661221531697,0.0,-0.03598661221531697,-0.6521284361441775,0.0,0.6521284361441775,-0.005129996219137765,0,0.005129996219137765,0.124571287779557,-0.4601648479093339,0.001029419286968871,0.4,0.033333778381347656,0.03363513946533203,STABILIZE
0.16,0.015,0.11,0.00280455509167095,0.007677796971521535,4.2068326375064254e-05,0.07910932669549758,0.08682919199339419,0.16,0.015,0.11,0.008750256106031508,0.020653636005310096,0.00013125384159047262,0.21300949820454035,0.23379438805144093,0.002,8e-05,0,-0.04323651791054396,-0.0012855412386706651,-3.458921432843517e-06,-0.0,-0.0012890001601035086,0.2,0.02,0.0,-0.000473116511360024,-0.0018065372805173786,-9.46233022720048e-06,-0.0,-0.001815999610744579,0.1290852250331881,0.0,-0.1290852250331881,0.04798623107200959,0.0,-0.04798623107200959,-0.6427706193353325,0.0,0.6427706193353325,-0.009032686402586892,0,0.009032686402586892,0.08686604862710422,-0.23378069651382044,0.001815999610744579,0.4,0.0334467887878418,0.06701278686523438,STABILIZE
0.16,0.015,0.11,0.0040817837818759445,0.006089716340762416,6.122675672813916e-05,0.04189447981629273,0.04804542291378329,0.16,0.015,0.11,0.014041510817804284,0.02522824653762449,0.00021062266226706426,0.17324654531948333,0.19868541451937488,0.002,8e-05,0,-0.06464572278570571,-0.0012759655511464987,-5.1716578228564575e-06,-0.0,-0.0012811372089693552,0.2,0.02,0.0,-0.0007761195980668727,-0.0018058657609351016,-1.5522391961337456e-05,-0.0,-0.0018213881528964392,0.15767654086015306,0.0,-0.15767654086015306,0.0380607271297651,0.0,-0.0380607271297651,-0.6379827755732493,0.0,0.6379827755732493,-0.009029328804675508,0,0.009029328804675508,0.04807673345290495,-0.19867784050114506,0.0018213881528964392,0.4,0.03355765342712402,0.10067033767700195,STABILIZE
0.16,0.015,0.11,0.005827775401486216,0.006546699267259969,8.741663102229323e-05,0.03326151717082944,0.0398956330691117,0.16,0.015,0.11,0.01933171530240226,0.01983593588536443,0.0002899757295360339,0.10821550671686574,0.1283414183317662,0.002,8e-05,0,-0.09111588571949995,-0.0012406430988598032,-7.289270857559997e-06,-0.0,-0.0012479323697173633,0.2,0.02,0.0,-0.0007398219344491751,0.00017012530668837926,-1.4796438688983503e-05,-0.0,0.00015532886799939576,0.12397459928352768,0.0,-0.12397459928352768,0.040916870420374805,0.0,-0.040916870420374805,-0.6203215494299016,0.0,0.6203215494299016,0.0008506265334418963,0,-0.0008506265334418963,0.0398937276780234,-0.12834201061751496,-0.00015532886799939576,0.4,0.04267168045043945,0.14324498176574707,STABILIZE
0.16,0.015,0.11,0.0068298976868051975,0.004787897577038518,0.00010244846530207796,0.01938777516923838,0.024278121211578976,0.16,0.015,0.11,0.024459410831641642,0.02449888737123712,0.0003668911624746246,0.10571795082374386,0.1305837293574556,0.002,8e-05,0,-0.1118183069778817,-0.0012363894361241282,-8.945464558230536e-06,-0.0,-0.0012453349006823586,0.2,0.02,0.0,-0.0009140747838558842,-0.0010406723905966176,-1.8281495677117685e-05,-0.0,-0.0010589538862737352,0.153118046070232,0.0,-0.153118046070232,0.029924359856490737,0.0,-0.029924359856490737,-0.618194718062064,0.0,0.618194718062064,-0.0052033619529830875,0,0.0052033619529830875,0.024289980177066055,-0.13058152398200548,0.0010589538862737352,0.4,0.03348851203918457,0.17676520347595215,STABILIZE
0.16,0.015,0.11,0.007458892658544057,0.003012262669581104,0.00011188338987816086,-0.011670794428643978,-0.008546648369184713,0.16,0.015,0.11,0.030558053798836072,0.02920645692031082,0.00045837080698254106,0.03732571158207358,0.06699053930936694,0.002,8e-05,0,-0.13240575698616253,-0.001232418578609049,-1.0592460558893002e-05,0.0,-0.001243011039167942,0.2,0.02,0.0,-0.0012964341284216882,-0.0022889029955537737,-2.5928682568433764e-05,-0.0,-0.0023148316781222075,0.1825403557519426,0.0,-0.1825403557519426,0.0188266416848819,0.0,-0.0188266416848819,-0.6162092893045245,0.0,0.6162092893045245,-0.011444514977768869,0,0.011444514977768869,-0.008533267209164905,-0.066992245118695,0.0023148316781222075,0.4,0.033409833908081055,0.21020174026489258,STABILIZE
0.16,0.015,0.11,0.008168369200266352,0.0033826509193082884,0.0001225255380039953,-0.018046072073065085,-0.014540895615752801,0.16,0.015,0.11,0.03636936488914403,0.027707239980474353,0.0005455404733371604,0.03374561220472405,0.061998392658535566,0.002,8e-05,0,-0.15300576812482589,-0.001227712308267478,-1.2240461449986071e-05,0.0,-0.001239952769717464,0.2,0.02,0.0,-0.0018111350681064915,-0.003067496781794804,-3.622270136212983e-05,-0.0,-0.0031037194831569337,0.1731702498779647,0.0,-0.1731702498779647,0.0211415682456768,0.0,-0.0211415682456768,-0.613856154133739,0.0,0.613856154133739,-0.01533748390897402,0,0.01533748390897402,-0.014524298770458534,-0.06200228288358931,0.0031037194831569337,0.4,0.03355836868286133,0.2437455654144287,STABILIZE
0.16,0.015,0.11,0.008683586315096796,0.002459673848589926,0.00013025379472645193,-0.015325729026393616,-0.012735801383077238,0.16,0.015,0.11,0.042303658913060184,0.02833063460105299,0.0006345548836959028,0.017559086562171283,0.04652427604692018,0.002,8e-05,0,-0.17349530755227413,-0.0012227268574902743,-1.387962460418193e-05,0.0,-0.0012366064820944563,0.2,0.02,0.0,-0.002039030471756915,-0.0013599809391941177,-4.07806094351383e-05,0.0,-0.0014007615486292559,0.17706646625658118,0.0,-0.17706646625658118,0.015372961553687036,0.0,-0.015372961553687036,-0.6113634287451372,0.0,0.6113634287451372,-0.006799904695970588,0,0.006799904695970588,-0.012730279758550579,-0.046525787213418116,0.0014007615486292559,0.4,0.03351449966430664,0.277254581451416,STABILIZE
0.16,0.015,0.11,0.008912949796644563,0.001096975590079223,0.00013369424694966843,-0.02239911991371786,-0.02116845007668897,0.16,0.015,0.11,0.049091840203978755,0.03246580112457589,0.0007363776030596813,0.05193067443779086,0.08513285316542643,0.002,8e-05,0,-0.19392995333043817,-0.0012216584926300147,-1.5514396266435055e-05,0.0,-0.0012371728888964499,0.2,0.02,0.0,-0.0024824089249578184,-0.0026506799221391168,-4.964817849915637e-05,-0.0,-0.002700328100638273,0.20291125702859927,0.0,-0.20291125702859927,0.006856097437995143,0.0,-0.006856097437995143,-0.6108292463150073,0.0,0.6108292463150073,-0.013253399610695583,0,0.013253399610695583,-0.021148756965420436,-0.08513774747756081,0.002700328100638273,0.4,0.033453941345214844,0.3107168674468994,STABILIZE
0.16,0.015,0.11,0.008987182489821601,0.0003552551352634054,0.000134807737347324,-0.018228160902415025,-0.017738098029804295,0.16,0.015,0.11,0.05504607929448869,0.028495180801873715,0.0008256911894173303,0.016455127514768377,0.04577599950605942,0.002,8e-05,0,-0.21419831759841265,-0.0012124779833217684,-1.7135865407873012e-05,0.0,-0.0012296138487296413,0.2,0.02,0.0,-0.002425338027270964,0.00034140498966192745,-4.8506760545419285e-05,0.0,0.0002928982291165082,0.17809488001171073,0.0,-0.17809488001171073,0.002220344595396284,0.0,-0.002220344595396284,-0.6062389916608842,0.0,0.6062389916608842,0.001707024948309637,0,-0.001707024948309637,-0.017739461835703844,-0.04577547101093888,-0.0002928982291165082,0.4,0.033432960510253906,0.3441593647003174,STABILIZE
