Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Avg,East-Avg,Down-Avg,Yaw-Avg,North-Dif,East-Dif,Down-Dif,Yaw-Dif,North-One,East-One,Down-One,Yaw-One,North-Two,East-Two,Down-Two,Yaw-Two,Landing-State,Q-Size,Kalman-Time,Kalman-Dt
STABILIZE,0.04257798194885254,23.492237033717934,0.0333128293355306,0.041556358337402344,0.0,0.0,0.0,-0.719650395458817,-1.170254730312366,-8.728516452639088,-0.01561042330216219,0.014955249846301186,0.022989207410178472,0.4,0.08866335297223513,0.09225075486660281,0.12330259325894509,0.09195682964071389,-0.11697618756443262,0.060525297885760665,1.4917682856321335,-0.0005738959728397433,-2.3659598082304,-0.012292145402170718,19.739624857902527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.1452796459197998,0.02993701171875
STABILIZE,0.07880496978759766,27.602458638798584,0.03221705754597982,0.035399675369262695,0.0,0.0,0.0,-0.7204094535911877,-1.1687651087430684,-8.728451565841974,-0.007311251357907717,0.0066122171882764666,0.02934432706411149,0.4,0.11194002579047946,0.11859269152789483,0.17976940854329387,0.11737730825644596,-0.3322814591228962,0.045038750977255404,1.7762990668416023,0.026386348114974915,-4.244089499115944,0.1332929590716958,24.4320347905159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.20298290252685547,0.034925048828125
STABILIZE,0.11223030090332031,29.917856684308887,0.03250292142232259,0.03265500068664551,0.0,0.0,0.0,-0.7205929082034259,-1.1685599896245564,-8.72851816018638,-0.005384542582695926,0.004800510494800021,0.03226087442441334,0.4,0.1217932045901235,0.13037712457144515,0.2142364013487227,0.12904349769765336,-0.13616153737530112,0.025410164380446076,2.225438505411148,0.030821121907976756,-6.480391323566437,0.3237709170207381,32.915905117988586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.23189949989318848,0.03492578125
STABILIZE,0.14577150344848633,29.813441376123965,0.032544883092244466,0.03266286849975586,0.0,0.0,0.0,-0.7190537677626458,-1.168890400025656,-8.729170443252118,-0.005391901314924603,0.004691198739312883,0.034187925789601774,0.4,0.1299132436365025,0.14075831345806433,0.24270738874210646,0.1367517031584071,-0.08494533249177039,0.09938139701262116,1.362935546785593,-0.2283397072971525,-0.3690923098474741,2.0180104300379753,18.041452765464783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.26057982444763184,0.029937255859375
STABILIZE,0.1791534423828125,29.95738845359941,0.03244784673055013,0.03256511688232422,0.0,0.0,0.0,-0.7191730826297096,-1.168531388207407,-8.7289467545568,-0.004717219327676143,0.003991301174620351,0.03488528812414567,0.4,0.13360568750275523,0.14657139699726235,0.26451594859622163,0.1395411524965827,-0.08494533249177039,0.09938139701262116,1.362935546785593,-0.2283397072971525,-0.3690923098474741,2.0180104300379753,18.041452765464783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.28919506072998047,0.029937255859375
STABILIZE,0.21261382102966309,29.885028643087182,0.0325045903523763,0.032640695571899414,0.0,0.0,0.0,-0.7189711118015182,-1.1684246665016256,-8.72902871682684,-0.004577642234011456,0.003814484186052182,0.03542302965784992,0.4,0.1359826550930551,0.1509954915321561,0.2885038965997284,0.1416921186313997,-0.11084319557994604,0.05377907073125243,1.6688959673047066,-0.1532006761759232,2.71364226937294,0.187021866440773,25.253698229789734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.3178071975708008,0.034925048828125
STABILIZE,0.24603724479675293,29.919564007818185,0.03246501286824544,0.032576799392700195,0.0,0.0,0.0,-0.7194383394294294,-1.1687214595654039,-8.728214216768315,-0.005043010650009682,0.004747851715392486,0.03672657440379132,0.4,0.14263828230535724,0.15713641424791247,0.3176874523903956,0.14690629761516527,0.19924077205359936,0.05661926115863025,1.6217738389968872,0.03162840491114731,2.2700436413288116,0.07534202886745334,21.159841120243073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.3466935157775879,0.03492578125
STABILIZE,0.27966904640197754,29.73692457124221,0.032480748494466145,0.032791852951049805,0.0,0.0,0.0,-0.7205678819634201,-1.1694678711756392,-8.728743556428991,-0.005263783626746498,0.003756196123196411,0.037960454974353866,0.4,0.14364208911865906,0.16365259820460676,0.37108873489358524,0.15184181989741546,-0.1342671108432114,0.1489127054810524,1.8970878794789314,-0.08776869122681755,-3.11320498585701,0.10610446333885193,23.48114401102066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.4040234088897705,0.034925048828125
STABILIZE,0.3131873607635498,29.8321016806902,0.03250006039937337,0.03264570236206055,0.0,0.0,0.0,-0.7206248179934546,-1.1697941194302133,-8.728173235633296,-0.004515967233628313,0.0037761696499300753,0.038327810099414654,0.4,0.14460762007626576,0.16568235708135157,0.4002588435569148,0.15331124039765862,-0.06513805128633976,-0.02805931435432285,1.7421096563339233,-0.03916523184567209,0.9392238222062588,-0.1723745372146368,23.206304013729095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.4325230121612549,0.034926025390625
STABILIZE,0.34671616554260254,29.823828891606702,0.032449992497762044,0.032607316970825195,0.0,0.0,0.0,-0.7203069473927846,-1.169735102326916,-8.727890636556387,-0.004627326362762784,0.003867795129536194,0.03866435346275701,0.4,0.1459059563051968,0.1680079236107011,0.4264109561257516,0.15465741385102805,0.038412658614106476,0.08268646779470146,1.544319000095129,0.029037642121810068,-2.723584696650505,1.8309436738491058,20.835375785827637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.46147584915161133,0.02993701171875
