E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.16,0.015,0.11,1.311698350657606,6.3984899925353345,0.01967547525986409,13.75,20.1681654677952,0.17,0.015,0.08,-0.32794815343933925,-1.6997210432185579,-0.004919222301590089,-10.0,-11.704640265520148,0.002,8e-05,0,0.31153805591664097,0.01899610848101227,2.492304447333128e-05,0.0,0.0190210315254856,0.2,0.02,0.0,0.00022163413102873673,0.0013514194866913146,4.432682620574735e-06,0.0,0.0013558521693118894,-9.998359077756222,-10.0,-0.001640922243778583,39.99056245334584,40.0,0.009437546654164733,9.498054240506134,10.0,0.5019457594938669,0.006757097433456573,0,-0.006757097433456573,4.000471706574607,3.9995282377920587,-0.0013558521693118894,0.5190210315254856,0.03280019760131836,0.0337979793548584,STABILIZE
0.16,0.015,0.11,2.6438019789460094,6.398634411371545,0.03965702968419014,6.87649037600975,13.314781817065485,0.17,0.015,0.08,-0.6609659499218735,-1.6995958721635342,-0.009914489248828103,-4.999115812672513,-6.708626174084875,0.002,8e-05,0,0.6281491394711305,0.01901014428637587,5.025193115769044e-05,0.0,0.01906039621753356,0.2,0.02,0.0,0.0004256620163929147,0.001225035932309572,8.513240327858295e-06,0.0,0.0012335491726374302,-9.997622777432554,-10.0,-0.002377222567445951,39.991465071072156,40.0,0.008534928927846392,9.505072143187935,10.0,0.4949278568120653,0.00612517966154786,0,-0.00612517966154786,4.0004275953515,3.999572358934167,-0.0012335491726374302,0.5190603962175335,0.0333096981048584,0.06688976287841797,STABILIZE
0.16,0.015,0.11,3.9837505264541044,6.398760760381573,0.05975625789681156,4.5851911109667025,11.043708129245086,0.17,0.015,0.08,-0.9959157903214175,-1.6994815906513068,-0.014938736854821262,-3.3322088384339814,-5.046629165940109,0.002,8e-05,0,0.946785054260899,0.019020086556651345,7.574280434087192e-05,0.0,0.019095829360992217,0.2,0.02,0.0,0.0006121541921680239,0.0011132132822256205,1.2243083843360477e-05,0.0,0.001125456366068981,-9.99695053324298,-10.0,-0.003049466757019602,39.99225475238483,40.0,0.0077452476151724245,9.510043278325673,10.0,0.4899567216743269,0.005566066411128103,0,-0.005566066411128103,4.000388565865662,3.9996113963848132,-0.001125456366068981,0.5190958293609922,0.03350520133972168,0.10030674934387207,STABILIZE
0.16,0.015,0.11,5.324561968075515,6.398601435407301,0.07986842952113272,3.4380765742088277,9.91654643913726,0.17,0.015,0.08,-1.331197890218972,-1.7000302859653773,-0.01996796835328458,-2.501081978849507,-4.221080233168169,0.002,8e-05,0,1.265842904703179,0.019032542127522936,0.00010126743237625433,0.0,0.01913380955989919,0.2,0.02,0.0,0.0006823379646609914,0.00041866251051000003,1.3646759293219827e-05,0.0,0.0004323092698032199,-10.000178152737513,-10.0,0.00017815273751255927,39.99125897129563,40.0,0.008741028704372386,9.516271063761469,10.0,0.4837289362385312,0.00209331255255,0,-0.00209331255255,4.000146138115587,3.9998538565451303,-0.0004323092698032199,0.5191338095598992,0.03352761268615723,0.13387393951416016,STABILIZE
0.16,0.015,0.11,6.686907901099312,6.398312543932195,0.10030361851648968,2.749295267575684,9.247911430024368,0.17,0.015,0.08,-1.671982527775211,-1.7005405741123676,-0.025079737916628164,-2.0022753412175884,-3.727895653246584,0.002,8e-05,0,1.5895061672894748,0.01900121935641054,0.000127160493383158,0.0,0.019128379849793698,0.2,0.02,0.0,0.0007373017108193225,0.00032267430942245446,1.4746034216386449e-05,0.0,0.0003374203436388409,-10.003179847719808,-10.0,0.0031798477198090383,39.98945339957622,40.0,0.010546600423780552,9.50060967820527,10.0,0.49939032179472964,0.001613371547112272,0,-0.001613371547112272,4.000104970906534,3.727783017186437,-0.0003374203436388409,0.5191283798497937,0.034067630767822266,0.16795563697814941,STABILIZE
0.16,0.015,0.11,8.03126520868767,6.398278894382656,0.12046897813031504,-0.0008423615733584881,6.517905510939613,0.17,0.015,0.08,-2.0084553728599257,-1.7014822133069554,-0.030126830592898883,-0.004911575844501613,-1.7365206197443557,0.002,8e-05,0,1.9093619631524459,0.019028856543236262,0.00015274895705219568,0.0,0.019181605500288457,0.2,0.02,0.0,0.0009447358770031081,0.0012340670519436566,1.8894717540062163e-05,-0.0,0.0012529617694837186,-10.008718901805619,-10.0,0.008718901805618755,39.9892430898916,40.0,0.01075691010839672,9.514428271618131,10.0,0.48557172838186885,0.006170335259718282,0,-0.006170335259718282,4.000186987339728,1.7360898390104207,-0.0012529617694837186,0.5191816055002885,0.03361797332763672,0.20163202285766602,STABILIZE
0.16,0.015,0.11,9.371770202784246,6.39832198949836,0.1405765530417637,-0.0012617420341998278,6.537636800505924,0.17,0.015,0.08,-2.3441601677833424,-1.7024883100754586,-0.03516240251675013,-0.008090055872358608,-1.7457407684645674,0.002,8e-05,0,2.228380023628973,0.019033687680978382,0.00017827040189031786,0.0,0.0192119580828687,0.2,0.02,0.0,0.0011414672678771343,0.0011737654743895643,2.2829345357542685e-05,-0.0,0.001196594819747107,-10.014637118090933,-10.0,0.014637118090932861,39.98951243436475,40.0,0.01048756563525394,9.51684384048919,10.0,0.4831561595108085,0.005868827371947821,0,-0.005868827371947821,4.000178795872632,1.7453310378636597,-0.001196594819747107,0.5192119580828687,0.033521413803100586,0.23521780967712402,STABILIZE
0.16,0.015,0.11,10.712521722602698,6.398360976880891,0.16068782583904048,-0.0016203660262417764,6.557428436693689,0.17,0.015,0.08,-2.6801145356488023,-1.7034510988341023,-0.040201718034732034,-0.011113807055500363,-1.7547666239243347,0.002,8e-05,0,2.547503042992037,0.019036564976200022,0.00020380024343936298,0.0,0.019240365219639385,0.2,0.02,0.0,0.0013289341053505275,0.0011182911967829148,2.6578682107010552e-05,0.0,0.0011448698788899254,-10.020300581377072,-10.0,0.020300581377072257,39.98975610550557,40.0,0.010243894494426906,9.518282488100011,10.0,0.481717511899989,0.0055914559839145735,0,-0.0055914559839145735,4.000171227428526,1.7543762583014424,-0.0011448698788899254,0.5192403652196393,0.033527374267578125,0.26871204376220703,STABILIZE
0.16,0.015,0.11,12.052746797435422,6.3983966675444695,0.1807912019615313,-0.00082052857817339,6.578367340927827,0.17,0.015,0.08,-3.0161177263686225,-1.704377380088738,-0.045241765895529334,-0.012174808674439846,-1.7617939546587071,0.002,8e-05,0,2.866519599882573,0.019037795524332764,0.00022932156799060588,0.0,0.01926711709232337,0.2,0.02,0.0,0.001507708434786943,0.0010668628493717986,3.015416869573886e-05,0.0,0.0010970170180675375,-10.025749294639635,-10.0,0.02574929463963499,39.989979172152935,40.0,0.010020827847064852,9.518897762166382,10.0,0.48110223783361755,0.005334314246858993,0,-0.005334314246858993,4.0001640080542575,1.7614215416359777,-0.0010970170180675375,0.5192671170923233,0.03351402282714844,0.30228376388549805,STABILIZE
0.16,0.015,0.11,13.392678994360228,6.398227390771951,0.20089018491540342,-0.0003491722210175123,6.5987684034663365,0.17,0.015,0.08,-3.35197006677784,-1.7039394803930255,-0.050279551001667595,-0.00953505773447357,-1.7637540891291665,0.002,8e-05,0,3.1853384078640343,0.019029649733414082,0.0002548270726291228,0.0,0.019284476806043206,0.2,0.02,0.0,0.0017133907695907017,0.0012276762504845476,3.4267815391814035e-05,0.0,0.0012619440658763617,-10.02317341407662,-10.0,0.023173414076619887,39.988921192324696,40.0,0.011078807675301021,9.514824866707041,10.0,0.4851751332929583,0.006138381252422738,0,-0.006138381252422738,4.000188936773972,1.7633255391534994,-0.0012619440658763617,0.5192844768060432,0.033507585525512695,0.33576273918151855,STABILIZE
