E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.035,0.005,0.05,-0.003078883087312412,-0.003265600783938948,-1.5394415436562062e-05,-0.1413731389564139,-0.1446541341557894,0.035,0.005,0.05,-0.0028970378689259536,-0.0030727276312799653,-1.4485189344629769e-05,-0.13302334826983445,-0.13611056109045905,0.002,8e-05,0,-0.00404303254525945,-0.00024504118399664603,-3.23442603620756e-07,-0.0,-0.00024536462660026677,0.1,0.02,0,-0.002972279973738471,-0.009007236471400408,-5.944559947476942e-05,-0.0,-0.009066682070875179,-0.08779221803657043,0.0,0.08779221803657043,-0.0933028795411128,0.0,0.0933028795411128,-0.122520591998323,0.0,0.122520591998323,-0.09007236471400408,0,0.09007236471400408,-0.14486792919808975,0.13588298811322175,0.009066682070875179,0.4,0.03299880027770996,0.03332996368408203,STABILIZE
0.035,0.005,0.05,-0.007000644015669688,-0.003832466926793472,-3.500322007834844e-05,-0.0819918603041962,-0.08585933045106801,0.035,0.005,0.05,-0.006616697230282861,-0.0036349669808427936,-3.3083486151414306e-05,-0.07772469054230924,-0.08139274100930345,0.002,8e-05,0,-0.009559092101269555,-0.00030802658296791275,-7.647273681015645e-07,-0.0,-0.0003087913103360143,0.1,0.02,0,-0.006764890036178509,-0.010589304794491118,-0.00013529780072357017,-0.0,-0.010724602595214688,-0.10385619945265123,0.0,0.10385619945265123,-0.10949905505124205,0.0,0.10949905505124205,-0.15401329148395637,0.0,0.15401329148395637,-0.10589304794491117,0,0.10589304794491117,-0.08600961235393537,0.0812339183915131,0.010724602595214688,0.4,0.03581547737121582,0.0690450668334961,STABILIZE
0.035,0.005,0.05,-0.011120500593325654,-0.004307981923983941,-5.5602502966628274e-05,-0.06142625349833123,-0.0657898379252818,0.035,0.005,0.05,-0.010467416607800352,-0.004026555089963454,-5.233708303900176e-05,-0.057387470277580246,-0.0614663624505827,0.002,8e-05,0,-0.015723083165118258,-0.0003683118794082894,-1.2578466532094609e-06,-0.0,-0.0003695697260614989,0.1,0.02,0,-0.010692948739841793,-0.011735502765873443,-0.00021385897479683585,-0.0,-0.011949361740670279,-0.11504443114181295,0.0,0.11504443114181295,-0.12308519782811259,0.0,0.12308519782811259,-0.1841559397041447,0.0,0.1841559397041447,-0.11735502765873443,0,0.11735502765873443,-0.0659155971823327,0.061331480784648465,0.011949361740670279,0.4,0.03347158432006836,0.10254812240600586,STABILIZE
0.035,0.005,0.05,-0.01563599132906876,-0.004609041307744759,-7.81799566453438e-05,-0.04920537013457918,-0.053892591398969285,0.035,0.005,0.05,-0.014589679895318178,-0.004207667092122298,-7.294839947659089e-05,-0.04492697235990217,-0.04920758785150106,0.002,8e-05,0,-0.022898403724083735,-0.00041851295320921334,-1.831872297926699e-06,-0.0,-0.00042034482550714003,0.1,0.02,0,-0.014979096002004966,-0.012499846758317668,-0.0002995819200400993,-0.0,-0.012799428678357767,-0.12021905977492278,0.0,0.12021905977492278,-0.13168689450699309,0.0,0.13168689450699309,-0.20925647660460667,0.0,0.20925647660460667,-0.12499846758317668,0,0.12499846758317668,-0.05399981604917535,0.04908989688840951,0.012799428678357767,0.4,0.03428959846496582,0.13684868812561035,STABILIZE
0.035,0.005,0.05,-0.02060329683072145,-0.005189581225353784,-0.00010301648415360725,-0.044315461579057865,-0.04960805928856526,0.035,0.005,0.05,-0.019059955922631523,-0.004670310802461385,-9.529977961315762e-05,-0.039887259303977955,-0.0446528698860525,0.002,8e-05,0,-0.03168896592648377,-0.0005247954311384042,-2.5351172741187018e-06,-0.0,-0.0005273305484125229,0.1,0.02,0,-0.019661904267668666,-0.013978152512512238,-0.0003932380853533733,-0.0,-0.01437139059786561,-0.13343745149889671,0.0,0.13343745149889671,-0.14827374929582238,0.0,0.14827374929582238,-0.26239771556920205,0.0,0.26239771556920205,-0.13978152512512237,0,0.13978152512512237,-0.0497168488278019,0.044531710926844395,0.01437139059786561,0.4,0.03350090980529785,0.17031216621398926,STABILIZE
0.035,0.005,0.05,-0.025610763799220126,-0.005241163279415818,-0.00012805381899610064,-0.016481563307335086,-0.021850780405747006,0.035,0.005,0.05,-0.023555506236795108,-0.004705355696919294,-0.00011777753118397554,-0.013582021686565669,-0.018405154914668938,0.002,8e-05,0,-0.04110979217207399,-0.0005634566925269551,-3.2887833737659197e-06,-0.0,-0.000566745475900721,0.1,0.02,0,-0.024445683300388293,-0.014305816927775886,-0.0004889136660077659,-0.0,-0.014794730593783651,-0.1344387341976941,0.0,0.1344387341976941,-0.14974752226902335,0.0,0.14974752226902335,-0.28172834626347754,0.0,0.28172834626347754,-0.14305816927775886,0,0.14305816927775886,-0.021896666901842582,0.01835053978396524,0.014794730593783651,0.4,0.03343939781188965,0.20378565788269043,STABILIZE
0.035,0.005,0.05,-0.031568614142541945,-0.006107825940835381,-0.00015784307071270974,-0.019212336457975814,-0.025478005469523904,0.035,0.005,0.05,-0.02887855111216678,-0.0054570406607257335,-0.00014439275556083392,-0.015387484157526827,-0.020988917573813395,0.002,8e-05,0,-0.05320618818933856,-0.0007086226179613515,-4.256495055147085e-06,-0.0,-0.0007128791130164985,0.1,0.02,0,-0.030221345152443947,-0.016917289315849907,-0.000604426903048879,-0.0,-0.017521716218898788,-0.15591544744930666,0.0,0.15591544744930666,-0.1745093125952966,0.0,0.1745093125952966,-0.35431130898067575,0.0,0.35431130898067575,-0.16917289315849907,0,0.16917289315849907,-0.02553986670264853,0.020913599222428636,0.017521716218898788,0.4,0.034140586853027344,0.23791193962097168,STABILIZE
0.035,0.005,0.05,-0.03814380545873274,-0.006809565520072602,-0.00019071902729366372,-0.02108600805316248,-0.028086292600528747,0.035,0.005,0.05,-0.0347524010682846,-0.006083224686218279,-0.00017376200534142302,-0.01733879248406144,-0.02359577917562114,0.002,8e-05,0,-0.06753303014978666,-0.0008478586017732215,-5.402642411982934e-06,-0.0,-0.0008532612441852044,0.1,0.02,0,-0.03662777219565917,-0.018956530302413996,-0.0007325554439131834,-0.0,-0.01968908574632718,-0.17380641960623652,0.0,0.17380641960623652,-0.1945590148592172,0.0,0.1945590148592172,-0.42392930088661074,0.0,0.42392930088661074,-0.18956530302413993,0,0.18956530302413993,-0.02816420628416174,0.0235027256149234,0.01968908574632718,0.4,0.03379535675048828,0.2717409133911133,STABILIZE
0.035,0.005,0.05,-0.044597699123212015,-0.006745427183157021,-0.00022298849561606007,-0.018030234850040693,-0.024998650528813775,0.035,0.005,0.05,-0.04046204275633534,-0.005967556060093757,-0.0002023102137816767,-0.01484281041449017,-0.0210126766883656,0.002,8e-05,0,-0.08247087691937442,-0.0008921494340871022,-6.597670153549954e-06,-0.0,-0.0008987471042406521,0.1,0.02,0,-0.04281278105269809,-0.018469703956480142,-0.0008562556210539618,-0.0,-0.019325959577534104,-0.17050160171696446,0.0,0.17050160171696446,-0.19272649094734343,0.0,0.19272649094734343,-0.44607471704355106,0.0,0.44607471704355106,-0.1846970395648014,0,0.1846970395648014,-0.025066256390815722,0.02093198271596445,0.019325959577534104,0.4,0.03348731994628906,0.30521106719970703,STABILIZE
0.035,0.005,0.05,-0.05111065031948081,-0.006742490665931081,-0.00025555325159740404,-0.013054252966446904,-0.02005229688397539,0.035,0.005,0.05,-0.04616240087848627,-0.0059012589335977,-0.00023081200439243135,-0.010336854124436898,-0.01646892506242703,0.002,8e-05,0,-0.09851224048174048,-0.0009489553162498144,-7.880979238539239e-06,-0.0,-0.0009568362954883537,0.1,0.02,0,-0.04894103559130422,-0.018126388386912735,-0.0009788207118260844,-0.0,-0.01910520909873882,-0.16860739810279143,0.0,0.16860739810279143,-0.19264259045517373,0.0,0.19264259045517373,-0.4744776581249072,0.0,0.4744776581249072,-0.18126388386912734,0,0.18126388386912734,-0.020104298389455794,0.016405404271234877,0.01910520909873882,0.4,0.03380846977233887,0.33901071548461914,STABILIZE
