E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.17,0.004,0.1,-0.00013496855784995355,-0.0006945901722885962,-5.398742313998142e-07,-0.012368778670445023,-0.01306390871696502,0.17,0.004,0.1,-0.00012195123198119686,-0.0006275989651367179,-4.878049279247875e-07,-0.011175845848782178,-0.01180393261884682,0.002,8e-05,0,-0.024064989164555378,-0.001457010801906162,-1.92519913316443e-06,-0.0,-0.0014589360010393265,0.2,0.02,0,-0.0005174498160251617,-0.00313289138107512,-1.0348996320503235e-05,-0.0,-0.0031432403773956233,-0.0036917586184512814,0.0,0.0036917586184512814,-0.004085824542874095,0.0,0.004085824542874095,-0.728505400953081,0.0,0.728505400953081,-0.015664456905375598,0,0.015664456905375598,-0.013067135380766565,0.0118003605528047,0.0031432403773956233,0.4,0.03303337097167969,0.03337287902832031,STABILIZE
0.17,0.004,0.1,-0.0003025212918371238,-0.0008521548624335946,-1.2100851673484951e-06,-0.007570819724289754,-0.008424184671890697,0.17,0.004,0.1,-0.0004074987374373965,-0.0014522633527956404,-1.6299949497495859e-06,-0.012844242641579656,-0.014298135989325046,0.002,8e-05,0,-0.04854025140715023,-0.0014644529925557364,-3.883220112572019e-06,-0.0,-0.0014683362126683083,0.2,0.02,0,-0.0011058533327910056,-0.0035206539665117147,-2.2117066655820114e-05,-0.0,-0.003542771033167535,-0.008542725604680237,0.0,0.008542725604680237,-0.005012675661374086,0.0,0.005012675661374086,-0.7322264962778682,0.0,0.7322264962778682,-0.017603269832558572,0,0.017603269832558572,-0.008428577162291746,0.014295547110014512,0.003542771033167535,0.4,0.03342580795288086,0.06670165061950684,STABILIZE
0.17,0.004,0.1,-0.0005017311969764226,-0.0010104426344237235,-2.0069247879056904e-06,-0.00597325156347661,-0.0069857011226882385,0.17,0.004,0.1,-0.000853784308933692,-0.002263672422577014,-3.4151372357347683e-06,-0.013309853157412309,-0.015576940717225058,0.002,8e-05,0,-0.07333620027608283,-0.001479662066864798,-5.866896022086627e-06,-0.0,-0.0014855289628868847,0.2,0.02,0,-0.0017602153840476894,-0.0039048100573133393,-3.5204307680953785e-05,-0.0,-0.003940014364994293,-0.013315720132805964,0.0,0.013315720132805964,-0.005943780202492491,0.0,0.005943780202492491,-0.739831033432399,0.0,0.739831033432399,-0.019524050286566695,0,0.019524050286566695,-0.006991008699138987,0.015574559372644693,0.003940014364994293,0.4,0.03351569175720215,0.1002206802368164,STABILIZE
0.17,0.004,0.1,-0.0008611916753124846,-0.0018277985606307342,-3.4447667012499385e-06,-0.0066440082307947824,-0.008475251558126767,0.17,0.004,0.1,-0.0013515108668853881,-0.002530859276722138,-5.406043467541553e-06,-0.011151586274688548,-0.013687851594878227,0.002,8e-05,0,-0.09773310499259395,-0.0014594626575492803,-7.818648399407517e-06,-0.0,-0.0014672813059486878,0.2,0.02,0,-0.0023623846665287015,-0.003602274925923309,-4.7247693330574034e-05,-0.0,-0.003649522619253883,-0.014887407510130223,0.0,0.014887407510130223,-0.010751756239004318,0.0,0.010751756239004318,-0.7297313287746402,0.0,0.7297313287746402,-0.018011374629616543,0,0.018011374629616543,-0.008479554022068788,0.013685186657249425,0.003649522619253883,0.4,0.033432722091674805,0.13365960121154785,STABILIZE
0.17,0.004,0.1,-0.0011606406486896778,-0.0015184698751994153,-4.642562594758711e-06,-0.003910530172561213,-0.005433642610355388,0.17,0.004,0.1,-0.0020031575595141123,-0.0033044223223421933,-8.012630238056449e-06,-0.01083842912170177,-0.01415086407428202,0.002,8e-05,0,-0.12300419606332892,-0.0015076079503651579,-9.840335685066314e-06,-0.0,-0.001517448286050224,0.2,0.02,0,-0.002754000122691683,-0.0023362765523048624,-5.5080002453833667e-05,0.0,-0.002391356554758696,-0.019437778366718783,0.0,0.019437778366718783,-0.008932175736467148,0.0,0.008932175736467148,-0.7538039751825789,0.0,0.7538039751825789,-0.011681382761524311,0,0.011681382761524311,-0.005436527555626747,0.014149755976792898,0.002391356554758696,0.4,0.03352475166320801,0.16719913482666016,STABILIZE
0.17,0.004,0.1,-0.0016468858226972023,-0.002470962870970456,-6.58754329078881e-06,-0.008567311544200353,-0.011044861958461598,0.17,0.004,0.1,-0.002635469593006568,-0.0032132340661616657,-1.0541878372026272e-05,-0.00555692529024332,-0.008780701234777012,0.002,8e-05,0,-0.14807570661953223,-0.0014988994179003477,-1.1846056529562579e-05,-0.0,-0.0015107454744299103,0.2,0.02,0,-0.003057281985113962,-0.001813169597521561,-6.114563970227924e-05,0.0,-0.0018743152372238403,-0.018901376859774503,0.0,0.018901376859774503,-0.014535075711590916,0.0,0.014535075711590916,-0.7494497089501738,0.0,0.7494497089501738,-0.009065847987607805,0,0.009065847987607805,-0.011046251180864214,0.008778953508542043,0.0018743152372238403,0.4,0.03345322608947754,0.20064377784729004,STABILIZE
0.17,0.004,0.1,-0.0019807723794550507,-0.0014700956045921346,-7.923089517820203e-06,0.0013091831987479773,-0.00016883549536197756,0.17,0.004,0.1,-0.00337584610642938,-0.0032598624775285767,-1.350338442571752e-05,-0.00422670829830677,-0.007500074160261064,0.002,8e-05,0,-0.17724359177526167,-0.0015108893546521502,-1.4179487342020935e-05,-0.0,-0.001525068841994171,0.2,0.02,0,-0.0033520053228124364,-0.0015266597187924913,-6.704010645624873e-05,0.0,-0.00159369982524874,-0.01917566163252104,0.0,0.01917566163252104,-0.008647621203483145,0.0,0.008647621203483145,-0.7554446773260751,0.0,0.7554446773260751,-0.007633298593962457,0,0.007633298593962457,-0.00016983470019015567,0.0075000516003905695,0.00159369982524874,0.4,0.038610219955444336,0.23926830291748047,STABILIZE
0.17,0.004,0.1,-0.0023216110571854564,-0.001732516663632792,-9.286444228741825e-06,-0.002038545606454857,-0.003780348714316391,0.17,0.004,0.1,-0.004000835887096963,-0.003176884785544383,-1.6003343548387854e-05,0.0007841675367340341,-0.0024087205923587368,0.002,8e-05,0,-0.2020492113255344,-0.0014834048733158038,-1.6163936906042756e-05,0.0,-0.0014995688102218466,0.2,0.02,0,-0.003615234207151554,-0.001574139315628725,-7.230468414303108e-05,0.0,-0.001646443999771756,-0.01868755756202578,0.0,0.01868755756202578,-0.0101912744919576,0.0,0.0101912744919576,-0.7417024366579019,0.0,0.7417024366579019,-0.007870696578143625,0,0.007870696578143625,-0.0037806795635583405,0.0024082012647573562,0.001646443999771756,0.4,0.03344416618347168,0.2727072238922119,STABILIZE
0.17,0.004,0.1,-0.002716808471295787,-0.002009070970031974,-1.0867233885183149e-05,0.0019226787473722033,-9.72594565449539e-05,0.17,0.004,0.1,-0.004621573373800645,-0.0031556523904754407,-1.848629349520258e-05,0.0003741860618445911,-0.002799952622126052,0.002,8e-05,0,-0.22668210685378057,-0.0014732543205479187,-1.8134568548302448e-05,0.0,-0.001491388889096221,0.2,0.02,0,-0.0038817638663659667,-0.0015940715192882381,-7.763527732731934e-05,0.0,-0.0016717067966155574,-0.018562661120443767,0.0,0.018562661120443767,-0.011818064529599846,0.0,0.011818064529599846,-0.7366271602739594,0.0,0.7366271602739594,-0.00797035759644119,0,0.00797035759644119,-9.764895416329481e-05,0.0027999390653706715,0.0016717067966155574,0.4,0.03344011306762695,0.3061540126800537,STABILIZE
0.17,0.004,0.1,-0.003064381559545827,-0.0017669120862223138,-1.2257526238183309e-05,-0.001740258121518908,-0.0035194277339794054,0.17,0.004,0.1,-0.005271842217174041,-0.0033056871129898972,-2.1087368868696164e-05,-0.0002687298169979044,-0.003595504298856498,0.002,8e-05,0,-0.25118966454072456,-0.0014657162629447727,-2.0095173163257967e-05,0.0,-0.0014858114361080306,0.2,0.02,0,-0.004071431442844284,-0.0011343392717818278,-8.142862885688568e-05,0.0,-0.0012157679006387135,-0.019445218311705276,0.0,0.019445218311705276,-0.010393600507190081,0.0,0.010393600507190081,-0.7328581314723863,0.0,0.7328581314723863,-0.005671696358909139,0,0.005671696358909139,-0.003519783634899274,0.0035951558938791825,0.0012157679006387135,0.4,0.03344106674194336,0.3395869731903076,STABILIZE
