Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Avg,East-Avg,Down-Avg,Yaw-Avg,North-Dif,East-Dif,Down-Dif,Yaw-Dif,North-One,East-One,Down-One,Yaw-One,North-Two,East-Two,Down-Two,Yaw-Two,Landing-State,Q-Size,Kalman-Time,Kalman-Dt
STABILIZE,3.67240047454834,29.577761166664317,0.03228643735249837,0.03282976150512695,0.0,0.0,0.0,0.1252573450849829,-1.3924161312988452,6.342414198644052,0.0258107282817461,0.033714185365348474,0.02597829370169685,0.4,0.2854324200600616,-0.11268394409149879,0.5327124316111206,0.12098000248037094,-1.6500309109687805,-0.9519067592918873,1.0654017329216003,1.3714287742483944,-39.82681632041931,-32.04948306083679,0.6342059466987848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.143990755081177,0.0349228515625
STABILIZE,3.705836057662964,29.909536271776258,0.03240993817647298,0.03253364562988281,0.0,0.0,0.0,0.13534500088056284,-1.3876338249410727,6.352719246554309,0.01721775507989993,0.03946841567920516,0.022069617633269204,0.4,0.3096846993215422,-0.10562332662914278,0.5305173398748773,0.10109844415177921,1.7448334023356438,0.2871850738301873,0.9692641906440258,-0.838062023365596,108.10636281967163,29.507672786712646,9.65995192527771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.172608852386475,0.029932861328125
STABILIZE,3.7392780780792236,29.901007321437483,0.03241709073384603,0.03255319595336914,0.0,0.0,0.0,0.12686382692211107,-1.3920191265533381,6.4358857643225,0.01132899141339107,0.04246228055455602,0.018213428972688097,0.4,0.33070296928396553,-0.09756506630591645,0.5261714202847438,0.0815447055575547,1.7448334023356438,0.2871850738301873,0.9692641906440258,-0.838062023365596,108.10636281967163,29.507672786712646,9.65995192527771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.201141357421875,0.029932861328125
STABILIZE,3.7727999687194824,29.831252978286074,0.03241399129231771,0.03264141082763672,0.0,0.0,0.0,0.14999762428009136,-1.3870927458927607,6.264894539772169,-0.0026954472810019467,0.04195200400548031,0.00625922752377665,0.4,0.34291899730836406,-0.055551244735938504,0.5347725006926728,0.021700940241064698,1.403410267084837,4.247003421187401,1.0925480164587498,-3.7499386326507267,54.31423783302307,127.13562250137329,16.07174426317215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.2593934535980225,0.034921875
STABILIZE,3.8088502883911133,27.741206661640014,0.03246262868245443,0.035085201263427734,0.0,0.0,0.0,0.14038023768103738,-1.3987073758546618,6.300288580051175,-0.03173205298623534,0.04520707672605607,-0.008660064345676005,0.4,0.3592138910436305,0.026955002658754293,0.5341938921773153,-0.05270595603243566,1.403410267084837,4.247003421187401,1.0925480164587498,-3.7499386326507267,54.31423783302307,127.13562250137329,16.07174426317215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.287941217422485,0.034921875
STABILIZE,3.8422982692718506,29.89631847179158,0.032334359486897786,0.03247547149658203,0.0,0.0,0.0,0.13036280476786166,-1.3824299678454635,6.464100422010176,-0.01932495648601257,0.047138323063643364,0.0065464351048008795,0.4,0.34079528313627105,-0.017498000196129307,0.5446899017579195,0.02324876825276409,-0.46212440356612206,-2.610495872795582,1.6749266535043716,4.359391289649087,-34.88236963748932,-168.82232427597046,23.745784163475037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.3166115283966064,0.02993310546875
STABILIZE,3.87577223777771,29.87268350355398,0.032357009251912434,0.03250885009765625,0.0,0.0,0.0,0.1892636347665542,-1.3337663641130035,6.276589104291701,0.00023815152497333572,0.040229972222395424,0.0038630713410030748,0.4,0.33746978970955566,-0.0672472469781569,0.5337233261544357,0.009799148961552331,0.49795834347605705,-2.87619698792696,0.6327902432531118,-0.579729487999463,53.851014375686646,23.24693202972412,10.896513611078262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.345251798629761,0.0349228515625
STABILIZE,3.909179925918579,29.933015993091782,0.03232434590657552,0.03255963325500488,0.0,0.0,0.0,0.3209394900414979,-1.3172065704703075,6.248524710765764,-0.019860808141603802,0.04281749530188885,-0.022529245025869827,0.4,0.35979774509943707,-0.0055457567085370335,0.5329973738416308,-0.12175414481780307,1.7786022275686264,3.2543987035751343,1.028459146618843,-7.071945423232645,-89.42252397537231,-72.81952500343323,24.626976251602173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.374102354049683,0.034922119140625
STABILIZE,3.942995309829712,29.574007220216608,0.03250768979390462,0.03284263610839844,0.0,0.0,0.0,0.3290125601970414,-1.1797325782811108,6.558756171735975,-0.03177222276521221,0.04749602715254398,-0.048949560548769054,0.4,0.38196199619297305,0.056127938053132605,0.532430107606404,-0.253003763548155,1.7786022275686264,3.2543987035751343,1.028459146618843,-7.071945423232645,-89.42252397537231,-72.81952500343323,24.626976251602173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,7.402589797973633,0.034922119140625
STABILIZE,3.97639799118042,29.93579330526015,0.032343180974324544,0.032465457916259766,0.0,0.0,0.0,0.3120979168826222,-1.2468762193083922,6.470128917726359,-0.08943482458790099,0.06570323351179974,-0.07509312321268496,0.4,0.44491136399596987,0.26829399962889455,0.5497189186149828,-0.3824430749814021,5.581201985478401,7.190357893705368,-1.9237551838159561,-6.607537809675029,320.3228235244751,66.5139377117157,30.872726440429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,7.460010051727295,0.034922119140625
