Mode,Time,Freq,Sync-Freq,Kalman-Freq,Control-Freq,North-Vision,East-Vision,Down-Vision,Yaw-Vision,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,northVraw,eastVraw,downVraw,N-Velocity,E-Velocity,D-Velocity,N-Acceleration,E-Acceleration,D-Acceleration,yawVraw,yawRate,Landing-State,Q-Size,N-diff,E-diff,D-diff,Y-diff
GUIDED_NOGPS,0.029328107833862300,34.11584230090370,34.11584230090370,34.11584230090370,34.11584230090370,-18.915896163387400,55.66531907033270,52.64612544177790,-7.757751844388200,-18.762540045086500,55.48083992877460,52.277377089531000,-0.025580125658755600,0.18649196534570400,7.657640120976760,-0.4817870706368150,-0.32720215516104500,-10.0,0.4992616597968730,-20.098969195447900,55.55263135799540,52.934691982143200,-2.3016951978206600,7.710718363523480,15.265661478042600,-38.54771554470060,13.112187385559100,43.521857261657700,-8.298242267889620,0.9022432299229430,FALSE,1,0,0,0,0
GUIDED_NOGPS,0.04096102714538570,85.99114318517300,85.99114318517300,85.99114318517300,85.99114318517300,-19.429200627100500,56.15158363601220,53.52172979393310,-7.984195520230820,-18.83925848546200,55.71397482414530,52.77420722043840,-0.11467524762651800,0.13262066253622700,7.643649332235640,-1.7887670608887600,-2.4304682777503700,-10.0,0.4985034090406320,-20.098969195447900,55.55263135799540,52.934691982143200,-7.306595146656040,7.382702827453610,13.423897325992600,-125.4416823387150,7.35158771276474,-28.86107861995700,-8.298242267889620,-2.9365595789242300,FALSE,1,0,0,0,0
GUIDED_NOGPS,0.05588126182556150,67.06058038212490,67.06058038212490,67.06058038212490,67.06058038212490,-19.516138843203200,56.187839903347800,53.62016737201850,-8.020710830658420,-18.914922805237500,55.94481888120340,53.26932191980370,-0.11467524762651800,0.13262066253622700,7.643649332235640,0.8091952328381750,-0.22228028899543100,-5.794622721682130,0.4992963458926850,-20.101114102874100,55.74754812846340,53.42022393040850,-7.306595146656040,7.382702827453610,13.423897325992600,-125.4416823387150,7.35158771276474,-28.86107861995700,-8.348319848931250,-2.9365595789242300,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.07654118537902830,48.418534850968500,48.418534850968500,48.418534850968500,48.418534850968500,-19.583892179731400,56.263525166755,53.781741023065000,-8.074203782093930,-18.98854259842770,56.17121764991750,53.761066330985400,-0.12571886310163500,0.13591804307975600,7.677072009165450,0.4593288615107010,-0.09917393913378850,-5.883420702695810,0.49995665334763300,-20.282771850044300,55.77079964724790,54.28035711167730,-3.947131335735320,8.057615906000140,12.033622711896900,-60.205090045929000,15.644721686840100,-49.23715889453890,-8.572415578562570,-2.7429860414305500,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.11300253868103000,27.42701698860890,27.42701698860890,27.42701698860890,27.42701698860890,-19.692321501230300,56.40162558448470,54.024129069806600,-8.140190825733820,-19.05919553767210,56.39116243475730,54.24785088303540,-0.13914034490326900,0.13866260518733800,7.744405721550730,0.12483906604672700,-0.14848722494954800,-5.605559422778290,0.500446101165978,-20.71217848435400,56.36146288373420,54.62085476039320,-3.41314896941185,8.478417992591860,12.92055994272230,-31.109124422073400,27.20862627029420,-33.11229348182680,-8.45693766054407,-3.12023190344234,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.14409518241882300,32.16515464075650,32.16515464075650,32.16515464075650,32.16515464075650,-19.87563588567060,56.6290332649996,54.43481443380120,-8.246037995723520,-19.126025803183600,56.60278695870660,54.728150415080400,-0.38919303680890600,0.07055820200375890,7.90628547374826,-0.08197806499306050,-0.3215772453943700,-6.310472818083040,0.5005860585339280,-20.616486175964700,56.31427580806550,54.89163856003440,-3.41314896941185,8.478417992591860,12.92055994272230,-31.109124422073400,27.20862627029420,-33.11229348182680,-8.513947263423210,-3.12023190344234,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.18328595161438000,25.519783395698300,25.519783395698300,25.519783395698300,25.519783395698300,-20.005827271749300,56.84326000436200,54.82807229362520,-8.36793932457772,-19.18824251169790,56.80436402727710,55.200503300703500,-0.4763677016811310,-0.03795728220846490,8.176130879929830,-0.052048227901189400,-0.18952734301537100,-6.264728222088450,0.5007454164601410,-20.61952493590450,56.580296873888600,55.890884620687800,-2.403651922941210,9.669610112905500,13.91662210226060,18.15224289894100,5.18886037170887,11.95705533027650,-8.66394166660934,-5.029595064220130,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.22070026397705100,26.729613296285900,26.729613296285900,26.729613296285900,26.729613296285900,-20.14824207407140,57.05636448850620,55.298632911587500,-8.515182930406130,-19.245118145422400,56.99430219252140,55.663510572326200,-0.4494602781675720,-0.04835720571516140,8.379194111501600,-0.08019719658303450,-0.23218911789749500,-6.683696584261080,0.5007314016277830,-20.209866203198000,56.024155639233000,56.02539035261210,-2.3919321596622500,8.379574120044710,14.142286777496300,31.04643225669860,9.801748394966130,-32.84900784492490,-8.896524811742160,-4.871289635392630,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.24906563758850100,35.26136411403210,35.26136411403210,35.26136411403210,35.26136411403210,-20.213719717935400,57.24761400777090,55.742016897656700,-8.646117449034220,-19.295986980985200,57.17114241704650,56.11583504558980,-0.44435620586686800,-0.08901422691477960,8.543000830818730,-0.05619952702154480,-0.11163881605215400,-7.034085340885660,0.5007501308743570,-20.80488901397990,56.60812272248600,56.61357485219940,1.922265812754630,8.216457813978200,15.89754968881610,12.74825632572170,-0.897509977221489,-27.076274156570400,-8.799589040875670,-5.3608319182090600,FALSE,0,0,0,0,0
GUIDED_NOGPS,0.290496826171875,24.138767711414700,24.138767711414700,24.138767711414700,24.138767711414700,-20.248286024429500,57.43134148077460,56.21096567117190,-8.746471900850850,-19.340243518384500,57.3335547380275,56.55620044373720,-0.2867990562794540,-0.21171057122612500,8.685632256161520,-0.050315931741471700,-0.05857983019455920,-6.217375159448790,0.5006941076782470,-21.481259476044000,57.20967298428220,57.63178482030920,4.1882578283548400,8.258040249347690,18.86575222015380,67.2223448753357,6.9108642637729600,47.08293974399570,-9.117875967060970,-3.4829738587516100,FALSE,0,0,0,0,0
