Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Avg,East-Avg,Down-Avg,Yaw-Avg,North-Dif,East-Dif,Down-Dif,Yaw-Dif,North-One,East-One,Down-One,Yaw-One,North-Two,East-Two,Down-Two,Yaw-Two,Landing-State,Q-Size,Kalman-Time,Kalman-Dt
STABILIZE,0.034369707107543945,29.10407038872004,0.03331425984700521,0.03344416618347168,0.0,0.0,0.0,1.3618651220282012,-1.0006076656463527,0.4148072867330856,-0.0026524900875910936,0.00358631135572287,0.04481079013977518,0.4,0.0896109923010406,0.08803222945489049,0.12717706909859133,0.08962158027955036,-0.11895782081410289,-0.07209063041955233,1.6546936705708504,0.008583086517366443,-0.2649684902280569,-1.5911061316728592,25.53163468837738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.15037274360656738,0.034923828125
STABILIZE,0.06766343116760254,30.034185218867034,0.03229835828145345,0.03242635726928711,0.0,0.0,0.0,1.362478558393033,-0.9998026638196433,0.4145090262458529,-0.0031048173868579217,0.004188263064124853,0.05241845479187978,0.4,0.10452337369318163,0.10281223141732121,0.15810667209111257,0.10483690958375956,-0.0993982539512217,-0.06570661789737642,1.5292655676603317,-0.048237117115730796,-3.3408451825380325,0.2729060361161828,20.321165025234222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.17937564849853516,0.064860107421875
STABILIZE,0.10113978385925293,29.87289626437805,0.03249243100484212,0.03261375427246094,0.0,0.0,0.0,1.361392558315001,-0.9993496301786011,0.41476985409478273,-0.00406566524685557,0.005467820397282923,0.06863095938535893,0.4,0.13638529127754606,0.134359247976248,0.2214662846635346,0.13726191877071786,-0.0993982539512217,-0.06570661789737642,1.5292655676603317,-0.048237117115730796,-3.3408451825380325,0.2729060361161828,20.321165025234222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.207902193069458,0.064860107421875
STABILIZE,0.13452386856079102,29.95417928355139,0.03245261510213216,0.03258514404296875,0.0,0.0,0.0,1.360499937967845,-0.9993461083623103,0.4144692190495964,-0.004884447043775826,0.00646089810370811,0.08251877973379931,0.4,0.16105105077709342,0.16110899994885466,0.2857184700870124,0.16503755946759863,-0.13600637903437018,0.10989337461069226,1.820455677807331,0.14732235123998844,-7.986418902873993,0.6229096557945013,24.2220476269722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2366318702697754,0.034923828125
STABILIZE,0.16800475120544434,29.867365467738605,0.03253320058186849,0.03265500068664551,0.0,0.0,0.0,1.360828107213123,-0.9985852893217944,0.4140474815487746,-0.004950933003623284,0.00652277859587977,0.08318999089488688,0.4,0.162334270778564,0.16295081786868895,0.31352157604754355,0.16637998178977376,-0.20736821461468935,-0.17389681888744235,1.7213771119713783,-0.2333746772933626,-1.8482191488146782,-2.050299383699894,21.546095609664917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.26546692848205566,0.029935302734375
STABILIZE,0.2014446258544922,29.905697642084547,0.03249409993489583,0.03260922431945801,0.0,0.0,0.0,1.3618337458467016,-0.9982620292749823,0.4133088873034876,-0.0048437652377861275,0.0063882045559684715,0.08198134648414794,0.4,0.15869185562469765,0.15904620238950043,0.35640375750841674,0.16396269296829588,0.026385666569694877,-0.05155718536116183,1.6627991572022438,0.13501246938556105,2.976873517036438,0.21556168794631958,22.070640325546265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.3225715160369873,0.0698486328125
STABILIZE,0.23487424850463867,29.91230922835544,0.03248170216878255,0.03260540962219238,0.0,0.0,0.0,1.3624981951868969,-0.9981114449481248,0.41345037360492737,-0.005271296914787881,0.006979588302006891,0.09054009791777468,0.4,0.17325644748502844,0.17278585103258207,0.4254725469771317,0.18108019583554935,0.026385666569694877,-0.05155718536116183,1.6627991572022438,0.13501246938556105,2.976873517036438,0.21556168794631958,22.070640325546265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.3514125347137451,0.0698486328125
STABILIZE,0.2686285972595215,29.62748643761302,0.03250006039937337,0.032928466796875,0.0,0.0,0.0,1.362261273000062,-0.9981582957769628,0.4139265925365506,-0.005583529217677765,0.007294012388534489,0.0975462945184728,0.4,0.18087055554705983,0.1826898944809825,0.4872080859104014,0.1950925890369456,-0.1212019706144929,0.013235137157607824,1.433585025370121,0.19169752998860592,-2.201295457780361,0.2196113346144557,20.317544043064117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.37999582290649414,0.029935302734375
STABILIZE,0.3022148609161377,29.774499712498848,0.03246763547261556,0.03259897232055664,0.0,0.0,0.0,1.361948791845534,-0.9984849709183599,0.41414550543553486,-0.005444900732978064,0.006911519809372562,0.09298242846491778,0.4,0.17098868575505835,0.17775246565601674,0.5028355056820862,0.18596485692983555,-0.18645210657268763,0.1036406378261745,1.7742255702614784,-0.12953384391820424,-6.923431158065796,2.23435889929533,25.04417896270752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.4094381332397461,0.06984765625
STABILIZE,0.3355076313018799,30.033324979413553,0.03234818776448568,0.03247261047363281,0.0,0.0,0.0,1.3607326980081544,-0.9967166989752669,0.4142931815959099,-0.005519131086242432,0.007150450587622699,0.0974540606420835,0.4,0.17669412599096362,0.17976312427222277,0.565347419857692,0.194908121284167,0.11548373149707913,-0.13598306104540825,1.7152588814496994,0.19729025429965633,10.420798510313034,-0.23873033933341503,16.05808585882187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.43741893768310547,0.029936279296875
STABILIZE,0.3690147399902344,29.84632462819327,0.032517464955647786,0.03264760971069336,0.0,0.0,0.0,1.3613002440395001,-0.9967275845892567,0.41455587707469094,-0.0052044933236952825,0.00692674734596498,0.0949872721445962,0.4,0.17077783096571392,0.16894353792371844,0.5759461571953384,0.1899745442891924,0.11548373149707913,-0.13598306104540825,1.7152588814496994,0.19729025429965633,10.420798510313034,-0.23873033933341503,16.05808585882187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.4691622257232666,0.029936279296875
STABILIZE,0.40236926078796387,29.980300496061528,0.03245142300923665,0.03256535530090332,0.0,0.0,0.0,1.3600270540895274,-0.9971972668164009,0.4150064294360738,-0.005060420794673332,0.006582952622153323,0.09078398288955822,0.4,0.1618821748045314,0.16384649866423875,0.5878934562525754,0.18156796577911644,-0.06802171119488776,0.13707316247746348,1.7794528976082802,-0.01118687602491563,0.262316083535552,0.3919629380106926,25.720515847206116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,0.49807000160217285,0.034923828125
STABILIZE,0.43590760231018066,29.817680304269008,0.03253200848897298,0.03266000747680664,0.0,0.0,0.0,1.360139538767421,-0.9961357060089928,0.41569969363683007,-0.004696124848600548,0.0061402050352485525,0.08467362397728413,0.4,0.15050797941104946,0.15145609275903965,0.6223769812784319,0.16934724795456826,0.12542440090328455,-0.12791057815775275,1.7227191478013992,0.06033507634290266,1.649448275566101,-1.996060088276863,22.477105259895325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.5550804138183594,0.06984912109375
STABILIZE,0.46931982040405273,29.928103549155882,0.032441171010335286,0.03255486488342285,0.0,0.0,0.0,1.3595104143118395,-0.9956396635205206,0.4164145956634336,-0.004588075213859377,0.006017298071825387,0.08323040702094735,0.4,0.14717551258972447,0.14754777232559144,0.6803780261622593,0.1664608140418947,-0.1004454679787159,-0.12114979326725006,1.742912270128727,-0.12350015885907811,2.92898528277874,-0.21765928249806166,15.775740146636963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.5840015411376953,0.029934814453125
STABILIZE,0.502795934677124,29.87289626437805,0.03246477444966634,0.03260374069213867,0.0,0.0,0.0,1.3586332686120217,-0.9937948721143824,0.41648281751385435,-0.004295843725149716,0.005647752509510527,0.07783528299011155,0.4,0.1376652642642226,0.1375712610956531,0.6860349708201233,0.1556705659802231,-0.1004454679787159,-0.12114979326725006,1.742912270128727,-0.12350015885907811,2.92898528277874,-0.21765928249806166,15.775740146636963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.6124775409698486,0.029934814453125
STABILIZE,0.5362560749053955,29.88609335698966,0.03244951566060384,0.03258943557739258,0.0,0.0,0.0,1.3584761742611113,-0.9935534676159048,0.4169801940236488,-0.0042581137375431516,0.005527529865978476,0.07215511818707473,0.4,0.13441128678354688,0.13605765559789948,0.6898136185673162,0.14431023637414947,0.1889671664685011,0.28029324021190405,1.6300912946462631,-0.1883778712889946,2.586996369063854,2.464720793068409,27.32689678668976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.6412479877471924,0.034924072265625
STABILIZE,0.5696244239807129,29.96830477714743,0.032447131474812825,0.032557010650634766,0.0,0.0,0.0,1.3578925132521926,-0.9931943490759503,0.416462967276579,-0.003941532072751227,0.005182720675127555,0.07000870859871418,0.4,0.1255539646931145,0.1252677526896125,0.7010314795404577,0.14001741719742836,-0.1405673217959702,-0.23733603302389383,1.695510372519493,0.12488049740165538,-5.105496197938919,-0.20359810441732407,22.38759994506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.6698863506317139,0.06485888671875
STABILIZE,0.6030483245849609,29.917856684308887,0.032515796025594075,0.03263139724731445,0.0,0.0,0.0,1.3582204690540591,-0.9934008555766374,0.4161234054892089,-0.0036717969653355174,0.004910711866593566,0.06921552775847122,0.4,0.11853662056627332,0.11604468514058688,0.7463649645186325,0.13843105551694243,-0.1405673217959702,-0.23733603302389383,1.695510372519493,0.12488049740165538,-5.105496197938919,-0.20359810441732407,22.38759994506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,0.6987724304199219,0.06485888671875
STABILIZE,0.6366274356842041,29.781476327075463,0.032529624303181966,0.03266191482543945,0.0,0.0,0.0,1.3587580262860801,-0.9930573184057269,0.41731183172436465,-0.003364451804804849,0.0046825948630892485,0.05971179164133918,0.4,0.11259880310185126,0.10563428821553605,0.7999499847114783,0.11942358328267837,0.10926162358373404,0.02603185421321541,2.134297415614128,-0.30496036919995884,0.637111347168684,-1.5886688604950905,31.802305579185486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.7559764385223389,0.034924072265625
STABILIZE,0.6699914932250977,29.970446165718695,0.03238871892293294,0.032529592514038086,0.0,0.0,0.0,1.357986108188163,-0.9931797282022582,0.4157811489787678,-0.003205719662488852,0.004538391286914174,0.053068993604477435,0.4,0.1087850463816719,0.1001650928529439,0.812106505935082,0.10613798720895487,0.10926162358373404,0.02603185421321541,2.134297415614128,-0.30496036919995884,0.637111347168684,-1.5886688604950905,31.802305579185486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.7846958637237549,0.034924072265625
STABILIZE,0.7034616470336914,29.878854798150694,0.032505067189534505,0.032637834548950195,0.0,0.0,0.0,1.3579264507546311,-0.9933919976750575,0.41653775251190533,-0.003072266111782955,0.004430713610533193,0.05311522756287673,0.4,0.10590993367204227,0.09551009050292693,0.8106400107930398,0.10623045512575346,0.14117000391706824,0.04883896326646209,1.4922023750841618,0.30362688148621964,5.749296769499779,0.03578619216568768,19.139929115772247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.8134076595306396,0.02993505859375
STABILIZE,0.7376220226287842,29.272048406345306,0.03248194058736165,0.03343319892883301,0.0,0.0,0.0,1.359214688465119,-0.9937643497065289,0.41675775930837383,-0.0029537010448243855,0.004191072763162436,0.0500546521857822,0.4,0.09973476839454963,0.0913790410037484,0.8096463734304677,0.1001093043715644,-0.02174233231926337,0.06257595377974212,1.778830960392952,-0.005132060068044776,-3.699243441224098,0.340633443556726,28.246647119522095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.8421134948730469,0.069848876953125
STABILIZE,0.7711577415466309,29.82022423979581,0.03260663350423177,0.03272819519042969,0.0,0.0,0.0,1.3588704042422681,-0.9934899682009649,0.41644199646139296,-0.0029171202882778487,0.003991960276646818,0.04794751636925814,0.4,0.09459175163307242,0.0899803505455097,0.8623279038107446,0.09589503273851628,-0.03877103445120156,0.1589996856637299,2.1674348041415215,0.06426898516035233,-1.3047266751527786,0.46208081766963005,29.63656187057495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.8706986904144287,0.034924072265625
STABILIZE,0.8050692081451416,29.48834331674119,0.03250864346822103,0.03305482864379883,0.0,0.0,0.0,1.3593318688980671,-0.9936760908558477,0.41728141603821695,-0.0026385537507387733,0.0036983975794739627,0.046368659617178974,0.4,0.08708995084243032,0.08053617365306522,0.8581992595432125,0.09273731923435795,-0.09879092685878277,-0.19973462913185358,1.5610288828611374,0.11804591930149237,-2.489808388054371,0.033508759224787354,25.078853964805603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,0.8992555141448975,0.02993505859375
