Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,0.103420972824,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.207679986954,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.313463926315,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.418236017227,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.523020029068,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.628052949905,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.733778953552,-0.486528307199,-0.0221590325236,0.0230626538396,-0.486528307199,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.838652849197,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,0.942596912384,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.04601788521,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.14967799187,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.25281405449,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.35727286339,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.46178007126,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.56705904007,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.67322492599,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.77831506729,-0.486528307199,-0.0222476087511,0.0229924991727,-0.486653029919,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.88299798965,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,1.98832297325,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.09237790108,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.19578289986,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.29876184464,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.4018778801,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.50720691681,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.61390805244,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.71995401382,-0.486528307199,-0.0223780479282,0.0230184029788,-0.486282408237,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
STABILIZE,2.82616591454,-0.486528307199,-0.0223347060382,0.0229810308665,-0.484844893217,0.57,0.52,0.03,0.17,0.12,-0.37,-0.034,0.024,0.54625
