Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,3.33887004852,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.18,1.25,0.02,0.78,0.85,-0.38,-0.172687650291,0.17,0.5475
STABILIZE,3.4419670105,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.17,1.25,0.02,0.77,0.85,-0.38,-0.137826994314,0.17,0.5475
STABILIZE,3.54490303993,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.17,1.27,0.02,0.77,0.87,-0.38,-0.154,0.205377170162,0.5475
STABILIZE,3.64780688286,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.16,1.28,0.02,0.76,0.88,-0.38,-0.136766963664,0.191233036336,0.5475
STABILIZE,3.75079894066,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,3.85366082191,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.17,1.27,0.02,0.77,0.87,-0.38,-0.168396810094,0.159603189906,0.5475
STABILIZE,3.95656585693,2.91528344154,-0.0369026400149,0.0219957027584,2.91505026817,1.16,1.27,0.02,0.76,0.87,-0.38,-0.137987448912,0.174,0.5475
STABILIZE,4.05952882767,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.189648102416,0.5475
STABILIZE,4.16240692139,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,4.26524090767,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,4.36804103851,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.17,1.28,0.02,0.77,0.88,-0.38,-0.166660403517,0.176,0.5475
STABILIZE,4.47094702721,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.17,1.27,0.02,0.77,0.87,-0.38,-0.154,0.161637563133,0.5475
