Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,0.103510141373,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.206479072571,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,-0.157531849048,0.54625
STABILIZE,0.309316158295,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.412242174149,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.515424013138,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.618477106094,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.721341133118,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.824200153351,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,0.927259206772,-0.870209872723,-0.0227721724659,0.0189882460982,-0.882859826088,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.03042602539,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.13389611244,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.23763012886,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.34104204178,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.44437599182,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.54760813713,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.65103507042,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.75490117073,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.85817313194,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,1.96154022217,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.06562209129,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.17125415802,-0.870209872723,-0.0228987764567,0.0189997069538,-0.895489454269,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.27656006813,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.38074207306,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.4841902256,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.5872900486,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.69031000137,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.79595422745,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,2.90198612213,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.00709199905,-0.870209872723,-0.0229079127312,0.0190684404224,-0.906351387501,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.1125562191,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.21762609482,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.32372713089,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.43010807037,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.23,0.03,0.8,1.83,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.53379416466,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.63780999184,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,3.7414700985,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.19,2.22,0.03,0.79,1.82,-0.37,-0.143156043325,0.261791666667,0.54625
STABILIZE,3.84660601616,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.174432667631,0.261791666667,0.54625
STABILIZE,3.95233011246,-0.870209872723,-0.0229567959905,0.0191638376564,-0.916025042534,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,4.05824804306,-0.870209872723,-0.0230228137225,0.0195093415678,-0.925626993179,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
STABILIZE,4.16205811501,-0.870209872723,-0.0230228137225,0.0195093415678,-0.925626993179,1.2,2.22,0.03,0.8,1.82,-0.37,-0.16,0.261791666667,0.54625
