Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,0.103598117828,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.02,0.5
STABILIZE,0.206951141357,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.39,-0.01,0.1,-0.01,0.002,0.02,0.50125
STABILIZE,0.315153121948,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.02,0.5
STABILIZE,0.423490047455,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.02,0.5
STABILIZE,0.531540155411,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.39,-0.01,0.1,-0.01,0.002,0.02,0.50125
STABILIZE,0.635648965836,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.39,-0.01,0.1,-0.01,0.002,0.02,0.50125
STABILIZE,0.742387056351,-0.720363855362,-0.0335232764482,0.0273257233202,-0.720363855362,0.39,0.5,0.39,-0.01,0.1,-0.01,0.002,0.02,0.50125
STABILIZE,0.846771001816,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.02,0.5
STABILIZE,0.952773094177,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.02,0.5
STABILIZE,1.05622196198,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.02,0.5
STABILIZE,1.15948295593,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.39,0.49,0.4,-0.01,0.09,0.0,0.002,-0.0331244057576,0.5
STABILIZE,1.26304507256,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.39,0.5,0.4,-0.01,0.1,0.0,0.002,0.0665711899944,0.5
STABILIZE,1.36636996269,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.38,0.49,0.4,-0.02,0.09,0.0,0.0467526726978,-0.0247526726978,0.5
STABILIZE,1.4696290493,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.38,0.5,0.4,-0.02,0.1,0.0,0.004,0.0595199062239,0.5
STABILIZE,1.57270407677,-0.720363855362,-0.0329703912139,0.0270627178252,-0.732243418694,0.38,0.5,0.4,-0.02,0.1,0.0,0.004,0.02,0.5
