adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh,Cam A Imgs,Cam B Imgs
3,3,3,52,47,99,3,91,91
4,4,4,64,60,124,4,91,91
5,5,5,64,60,124,5,91,91
6,6,6,58,57,115,6,91,91
7,7,7,58,57,115,7,91,91
8,8,8,54,51,105,8,91,91
9,9,9,54,51,105,9,91,91
10,10,10,45,42,87,10,91,91
11,11,11,45,42,87,11,91,91
12,12,12,42,42,84,12,91,91
13,13,13,42,42,84,13,91,91
14,14,14,37,38,75,14,91,91
15,15,15,37,38,75,15,91,91
16,16,16,30,29,59,16,91,91
17,17,17,30,29,59,17,91,91
18,18,18,22,21,43,18,91,91
19,19,19,22,21,43,19,91,91
20,20,20,19,15,34,20,91,91
21,21,21,19,15,34,21,91,91
22,22,22,13,10,23,22,91,91
23,23,23,13,10,23,23,91,91
24,24,24,9,8,17,24,91,91
25,25,25,9,8,17,25,91,91
26,26,26,6,7,13,26,91,91
27,27,27,6,7,13,27,91,91
28,28,28,3,3,6,28,91,91
29,29,29,3,3,6,29,91,91
