adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh,Cam A Imgs,Cam B Imgs
3,3,3,31,30,61,3,73,73
4,4,4,45,43,88,4,73,73
5,5,5,45,43,88,5,73,73
6,6,6,42,39,81,6,73,73
7,7,7,42,39,81,7,73,73
8,8,8,38,38,76,8,73,73
9,9,9,38,38,76,9,73,73
10,10,10,34,34,68,10,73,73
11,11,11,34,34,68,11,73,73
12,12,12,33,28,61,12,73,73
13,13,13,33,28,61,13,73,73
14,14,14,28,22,50,14,73,73
15,15,15,28,22,50,15,73,73
16,16,16,23,18,41,16,73,73
17,17,17,23,18,41,17,73,73
18,18,18,18,13,31,18,73,73
19,19,19,18,13,31,19,73,73
20,20,20,15,7,22,20,73,73
21,21,21,15,7,22,21,73,73
22,22,22,14,7,21,22,73,73
23,23,23,14,7,21,23,73,73
24,24,24,12,5,17,24,73,73
25,25,25,12,5,17,25,73,73
26,26,26,9,3,12,26,73,73
27,27,27,9,3,12,27,73,73
28,28,28,7,3,10,28,73,73
29,29,29,7,3,10,29,73,73
