adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh,Cam A Imgs,Cam B Imgs
3,3,3,43,46,89,3,55,55
4,4,4,49,48,97,4,55,55
5,5,5,49,48,97,5,55,55
6,6,6,50,49,99,6,55,55
7,7,7,50,49,99,7,55,55
8,8,8,45,42,87,8,55,55
9,9,9,45,42,87,9,55,55
10,10,10,31,29,60,10,55,55
11,11,11,31,29,60,11,55,55
12,12,12,21,19,40,12,55,55
13,13,13,21,19,40,13,55,55
14,14,14,16,18,34,14,55,55
15,15,15,16,18,34,15,55,55
16,16,16,13,16,29,16,55,55
17,17,17,13,16,29,17,55,55
18,18,18,9,12,21,18,55,55
19,19,19,9,12,21,19,55,55
20,20,20,5,8,13,20,55,55
21,21,21,5,8,13,21,55,55
22,22,22,4,7,11,22,55,55
23,23,23,4,7,11,23,55,55
24,24,24,4,8,12,24,55,55
25,25,25,4,8,12,25,55,55
26,26,26,3,6,9,26,55,55
27,27,27,3,6,9,27,55,55
28,28,28,3,7,10,28,55,55
29,29,29,3,7,10,29,55,55
