Mode,Time,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,yawCurrentAngle,rollControl,pitchControl,yawControl,thrustControl
STABILIZE,1574805116.0932784,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.3926875,0.3926875,-0.0,0.5833333333333334
STABILIZE,1574805116.1133432,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.3926875,0.3926875,-0.0,0.5833333333333334
STABILIZE,1574805116.1334462,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.3926875,0.3926875,-0.0,0.5833333333333334
STABILIZE,1574805116.1535242,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.3926875,0.3926875,-0.0,0.5833333333333334
STABILIZE,1574805116.1736398,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.1937003,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.2137527,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.2340224,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.254102,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.2779443,-0.0287168025970459,0.010049615055322647,2.560048818588257,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.3015463,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.321616,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.3462934,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.36766,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.3946378,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.4147,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.4347892,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.4584498,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.4785025,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.499177,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.519223,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.5392785,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.5593288,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.5808113,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.6008763,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.6209943,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.641185,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.6618574,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.681939,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.701991,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.734032,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.7548714,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.775182,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.799752,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.821582,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.841649,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
